id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,cardType,goalMouthZ,goalMouthY,isGoal,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY
2202043697.0,6,0,17.0,211,73.3,91.8,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 61, 'displayName': 'BallTouch'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]",[91],True,122926.0,,,,,,,,,,,
2202043797.0,9,0,37.0,184,31.3,0.0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.2'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '51.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '21.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '6.1'}]","[91, 212, 36, 37, 216]",True,18181.0,51.4,6.1,,,,,,,,,
2202043799.0,10,0,39.0,184,53.0,6.4,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 44, 'displayName': 'Aerial'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '8'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]","[197, 199]",False,73380.0,,,,,,,,,,,
2202043795.0,8,0,39.0,211,47.0,93.6,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 44, 'displayName': 'Aerial'}","{'value': 0, 'displayName': 'Unsuccessful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '10'}]","[198, 200]",False,122926.0,,,,,,,,,,,
2202043805.0,11,0,40.0,184,51.4,6.1,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.9'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '55.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '12.9'}]","[91, 120, 29, 139, 36, 37, 216, 218]",True,73380.0,55.2,12.9,,,,,,,,,
2202043813.0,9,0,42.0,211,44.3,89.3,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 49, 'displayName': 'BallRecovery'}","{'value': 1, 'displayName': 'Successful'}",[],[93],False,24238.0,,,,,,,,,,,
2202043817.0,10,0,42.0,211,44.6,89.3,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '28.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '70.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '100.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.3'}, {'type': {'value': 1, 'displayName': 'Longball'}}]","[91, 120, 128, 36, 37, 217, 218]",True,24238.0,70.3,100.0,,,,,,,,,
2202043855.0,13,0,51.0,184,36.7,0.0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '13.5'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.9'}]","[91, 212, 35, 37, 216]",True,18181.0,36.4,13.5,,,,,,,,,
2202043857.0,14,0,53.0,184,36.4,13.5,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '34.2'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '21.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '68.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 120, 128, 36, 37, 217, 218]",True,79050.0,68.6,21.5,,,,,,,,,
2202043865.0,12,0,54.0,211,26.2,73.5,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 49, 'displayName': 'BallRecovery'}","{'value': 1, 'displayName': 'Successful'}",[],[93],False,109922.0,,,,,,,,,,,
2202043889.0,13,0,55.0,211,23.1,70.6,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '11.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '50.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.0'}]","[91, 117, 30, 35, 38, 215, 218]",True,109922.0,11.1,50.1,,,,,,,,,
2202043903.0,14,0,59.0,211,12.5,39.7,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '14.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '52.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.0'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '60.1'}]","[91, 120, 128, 36, 38, 216, 218]",True,81523.0,60.1,14.4,,,,,,,,,
