minute,half,ht_elo,at_elo,ht_goal,at_goal,pass,final_3rd_pass,key_pass,corner,big_chance,shot,red,result
0,1,1858.37817383,1646.67077637,0,0,0,0,0,0,0,0,0,W
1,1,1858.37817383,1646.67077637,0,0,-1,-3,0,0,0,0,0,W
2,1,1858.37817383,1646.67077637,0,0,16,3,0,0,0,0,0,W
3,1,1858.37817383,1646.67077637,0,0,19,5,0,0,0,0,0,W
4,1,1858.37817383,1646.67077637,0,0,25,10,0,0,0,0,0,W
5,1,1858.37817383,1646.67077637,0,0,29,9,0,0,0,0,0,W
6,1,1858.37817383,1646.67077637,0,0,33,11,0,0,0,0,0,W
7,1,1858.37817383,1646.67077637,0,0,46,16,0,0,0,0,0,W
8,1,1858.37817383,1646.67077637,0,0,62,22,0,0,0,0,0,W
9,1,1858.37817383,1646.67077637,0,0,60,20,0,0,0,0,0,W
10,1,1858.37817383,1646.67077637,0,0,67,19,0,0,0,0,0,W
11,1,1858.37817383,1646.67077637,0,0,65,23,1,0,0,1,0,W
12,1,1858.37817383,1646.67077637,0,0,71,26,1,0,0,1,0,W
13,1,1858.37817383,1646.67077637,0,0,72,29,1,0,0,1,0,W
14,1,1858.37817383,1646.67077637,0,0,77,28,1,0,0,1,0,W
15,1,1858.37817383,1646.67077637,0,0,92,30,1,0,0,1,0,W
16,1,1858.37817383,1646.67077637,0,0,89,28,1,0,0,1,0,W
17,1,1858.37817383,1646.67077637,0,0,98,27,1,0,0,1,0,W
18,1,1858.37817383,1646.67077637,0,0,110,28,1,0,0,1,0,W
19,1,1858.37817383,1646.67077637,0,0,112,29,1,0,0,1,0,W
20,1,1858.37817383,1646.67077637,0,0,109,29,1,0,0,1,0,W
21,1,1858.37817383,1646.67077637,0,0,119,32,1,0,0,1,0,W
22,1,1858.37817383,1646.67077637,0,0,125,40,1,0,0,1,0,W
23,1,1858.37817383,1646.67077637,1,0,125,41,2,0,1,2,0,W
24,1,1858.37817383,1646.67077637,1,0,117,41,2,0,1,2,0,W
25,1,1858.37817383,1646.67077637,1,0,128,43,2,0,1,2,0,W
26,1,1858.37817383,1646.67077637,1,0,127,40,2,0,1,2,0,W
27,1,1858.37817383,1646.67077637,1,0,127,40,2,0,1,1,0,W
28,1,1858.37817383,1646.67077637,1,0,125,34,1,-1,1,0,0,W
29,1,1858.37817383,1646.67077637,1,0,123,34,1,-1,1,0,0,W
30,1,1858.37817383,1646.67077637,1,0,126,38,1,-1,1,0,0,W
31,1,1858.37817383,1646.67077637,1,0,152,61,1,-1,1,0,0,W
32,1,1858.37817383,1646.67077637,1,0,148,61,1,-1,1,0,0,W
33,1,1858.37817383,1646.67077637,1,0,155,61,1,-2,1,0,0,W
34,1,1858.37817383,1646.67077637,1,0,159,66,2,-2,1,1,0,W
35,1,1858.37817383,1646.67077637,1,0,174,70,3,-2,1,1,0,W
36,1,1858.37817383,1646.67077637,1,0,174,70,3,-2,1,2,0,W
37,1,1858.37817383,1646.67077637,1,0,174,70,3,-2,1,3,0,W
38,1,1858.37817383,1646.67077637,1,0,174,72,3,-1,1,3,0,W
39,1,1858.37817383,1646.67077637,1,0,186,73,3,-1,1,3,0,W
40,1,1858.37817383,1646.67077637,1,0,186,75,3,-1,1,3,0,W
