ht_goal,at_goal,ht_elo,at_elo,shot,big_chance,shot_penalty_box,key_pass,pass,short_pass,shot_open_play,final_3rd_pass,minute,shot_6_yard_box,dispossessed,clearance,long_pass,cross,shot_fast_break,tackle,result
0,0,1923.57397461,1714.98522949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W
0,0,1923.57397461,1714.98522949,0,0,0,0,-1,-2,0,2,1,0,0,-2,1,1,0,0,W
0,0,1923.57397461,1714.98522949,0,0,0,0,3,2,0,4,2,0,-1,-2,1,1,0,1,W
0,0,1923.57397461,1714.98522949,0,0,0,0,-1,-2,0,-3,3,0,-1,-2,1,0,0,1,W
0,0,1923.57397461,1714.98522949,-1,-1,-1,-1,-1,-2,0,-3,4,0,-1,-2,2,-1,0,1,W
0,0,1923.57397461,1714.98522949,-1,-1,-1,-1,-1,-3,0,-4,5,0,-2,-2,4,-1,0,2,W
0,0,1923.57397461,1714.98522949,-1,-1,-1,-1,-10,-10,0,-5,6,0,-2,-1,3,-1,0,2,W
0,0,1923.57397461,1714.98522949,-1,-1,-1,-1,-3,-3,0,5,7,0,-2,-2,3,-1,0,3,W
0,0,1923.57397461,1714.98522949,-1,-1,-1,-1,4,4,0,8,8,0,-2,-4,4,0,0,3,W
0,0,1923.57397461,1714.98522949,-1,-1,-1,-1,2,2,0,9,9,0,-2,-5,4,0,0,3,W
0,0,1923.57397461,1714.98522949,-1,-1,-1,-1,4,4,0,11,10,0,-2,-5,2,0,0,3,W
0,0,1923.57397461,1714.98522949,-1,-1,-1,-1,8,8,0,20,11,0,-2,-6,1,3,0,3,W
0,0,1923.57397461,1714.98522949,0,0,0,0,9,9,1,20,12,0,-3,-5,-1,3,0,4,W
0,0,1923.57397461,1714.98522949,1,0,1,1,11,10,2,23,13,0,-3,-8,0,4,0,4,W
0,0,1923.57397461,1714.98522949,1,0,1,1,13,12,2,28,14,0,-3,-8,-1,4,0,4,W
0,0,1923.57397461,1714.98522949,1,0,1,1,33,32,2,29,15,0,-3,-8,-1,4,0,4,W
0,0,1923.57397461,1714.98522949,1,0,1,1,35,34,2,29,16,0,-3,-8,-1,4,0,4,W
0,0,1923.57397461,1714.98522949,1,0,1,1,41,41,2,29,17,0,-2,-8,-2,4,0,4,W
0,0,1923.57397461,1714.98522949,1,0,1,1,60,57,2,36,18,0,-2,-8,1,4,0,4,W
0,0,1923.57397461,1714.98522949,2,0,2,2,63,59,3,38,19,0,-2,-8,1,4,0,4,W
0,0,1923.57397461,1714.98522949,2,0,2,2,61,58,3,37,20,0,-3,-7,-1,4,0,4,W
0,0,1923.57397461,1714.98522949,0,-1,2,1,60,55,1,35,21,-2,-3,-7,0,3,0,4,W
0,0,1923.57397461,1714.98522949,0,-1,2,1,60,55,1,34,22,-2,-3,-7,0,3,0,4,W
0,0,1923.57397461,1714.98522949,0,-1,2,1,58,53,1,34,23,-2,-3,-7,2,3,0,4,W
0,0,1923.57397461,1714.98522949,0,-1,2,1,53,48,1,32,24,-2,-3,-7,3,3,0,4,W
