minute,half,ht_elo,at_elo,ht_goal,at_goal,pass,final_3rd_pass,key_pass,corner,big_chance,shot,red,result
0,1,1703.28137207,1725.11816406,0,0,0,0,0,0,0,0,0,W
1,1,1703.28137207,1725.11816406,0,0,2,-4,0,0,0,0,0,W
2,1,1703.28137207,1725.11816406,0,0,5,-6,-1,0,0,-1,0,W
3,1,1703.28137207,1725.11816406,0,0,1,-6,-1,0,0,-1,0,W
4,1,1703.28137207,1725.11816406,0,0,3,-5,-1,0,0,-1,0,W
5,1,1703.28137207,1725.11816406,0,0,7,0,-1,0,0,-1,0,W
6,1,1703.28137207,1725.11816406,0,1,5,-3,-2,0,0,-2,0,W
7,1,1703.28137207,1725.11816406,0,1,7,-3,-2,0,0,-2,0,W
8,1,1703.28137207,1725.11816406,0,1,-9,-9,-2,0,0,-2,0,W
9,1,1703.28137207,1725.11816406,0,1,-12,-8,-2,0,0,-2,0,W
10,1,1703.28137207,1725.11816406,0,1,-4,-3,-2,0,0,-2,0,W
11,1,1703.28137207,1725.11816406,0,1,0,0,-2,1,0,-2,0,W
12,1,1703.28137207,1725.11816406,0,1,8,7,-1,1,0,-2,0,W
13,1,1703.28137207,1725.11816406,0,1,7,8,-1,2,0,-1,0,W
14,1,1703.28137207,1725.11816406,0,1,7,9,-1,2,0,-1,0,W
15,1,1703.28137207,1725.11816406,0,1,7,9,-1,2,0,-1,0,W
16,1,1703.28137207,1725.11816406,0,1,7,12,-1,2,0,-1,0,W
17,1,1703.28137207,1725.11816406,0,1,6,11,-1,2,0,-1,0,W
18,1,1703.28137207,1725.11816406,0,1,0,8,-1,2,0,-1,0,W
19,1,1703.28137207,1725.11816406,0,1,5,9,0,2,0,0,0,W
20,1,1703.28137207,1725.11816406,0,1,5,10,0,3,0,1,0,W
21,1,1703.28137207,1725.11816406,0,1,1,10,-1,3,0,0,0,W
22,1,1703.28137207,1725.11816406,0,1,-1,17,-1,3,0,0,0,W
23,1,1703.28137207,1725.11816406,0,1,3,20,-1,3,0,0,0,W
24,1,1703.28137207,1725.11816406,1,1,5,23,0,3,0,1,0,W
25,1,1703.28137207,1725.11816406,1,1,-2,19,0,3,0,1,0,W
26,1,1703.28137207,1725.11816406,1,1,0,22,2,3,0,3,0,W
27,1,1703.28137207,1725.11816406,1,1,-13,19,2,3,0,3,0,W
28,1,1703.28137207,1725.11816406,1,1,-17,22,2,3,0,3,0,W
29,1,1703.28137207,1725.11816406,1,1,-15,27,3,3,0,4,0,W
30,1,1703.28137207,1725.11816406,1,1,-6,29,3,3,0,4,0,W
31,1,1703.28137207,1725.11816406,1,1,-3,28,3,3,0,4,0,W
32,1,1703.28137207,1725.11816406,1,1,-3,28,3,3,0,4,0,W
