ht_goal,ht_elo,at_goal,at_elo,big_chance,shot,pass,final_3rd_pass,key_pass,result
0,1802.85302734,0,1811.2989502,0,0,0,0,0,W
0,1802.85302734,0,1811.2989502,0,0,1,1,0,W
0,1802.85302734,0,1811.2989502,0,0,-4,-3,0,W
0,1802.85302734,0,1811.2989502,0,0,2,-1,0,W
0,1802.85302734,0,1811.2989502,0,0,3,0,0,W
0,1802.85302734,0,1811.2989502,0,0,8,7,0,W
1,1802.85302734,0,1811.2989502,0,1,8,7,0,W
1,1802.85302734,0,1811.2989502,0,1,9,8,0,W
1,1802.85302734,0,1811.2989502,0,1,8,13,0,W
1,1802.85302734,0,1811.2989502,0,1,26,14,0,W
1,1802.85302734,0,1811.2989502,0,1,25,19,0,W
1,1802.85302734,0,1811.2989502,1,3,36,31,2,W
1,1802.85302734,0,1811.2989502,1,3,36,30,2,W
1,1802.85302734,0,1811.2989502,1,3,42,36,2,W
1,1802.85302734,0,1811.2989502,1,3,43,37,2,W
1,1802.85302734,0,1811.2989502,1,3,47,42,2,W
1,1802.85302734,0,1811.2989502,1,3,54,47,2,W
1,1802.85302734,0,1811.2989502,1,3,63,55,2,W
1,1802.85302734,0,1811.2989502,1,5,60,58,3,W
1,1802.85302734,0,1811.2989502,1,5,54,58,3,W
1,1802.85302734,0,1811.2989502,1,5,54,58,3,W
1,1802.85302734,0,1811.2989502,1,5,55,58,3,W
1,1802.85302734,0,1811.2989502,1,5,52,58,3,W
1,1802.85302734,0,1811.2989502,1,5,53,58,3,W
1,1802.85302734,0,1811.2989502,1,4,63,56,2,W
1,1802.85302734,0,1811.2989502,1,4,49,51,2,W
1,1802.85302734,0,1811.2989502,1,3,49,50,1,W
1,1802.85302734,0,1811.2989502,1,3,47,51,1,W
1,1802.85302734,0,1811.2989502,1,3,41,51,1,W
1,1802.85302734,0,1811.2989502,1,3,45,56,1,W
1,1802.85302734,0,1811.2989502,1,3,49,58,1,W
1,1802.85302734,0,1811.2989502,1,3,44,56,1,W
1,1802.85302734,0,1811.2989502,1,3,46,59,1,W
1,1802.85302734,0,1811.2989502,1,3,46,59,1,W
1,1802.85302734,0,1811.2989502,1,3,46,60,1,W
1,1802.85302734,0,1811.2989502,1,3,46,61,1,W
1,1802.85302734,0,1811.2989502,1,3,46,61,1,W
1,1802.85302734,0,1811.2989502,1,3,45,59,1,W
1,1802.85302734,0,1811.2989502,1,3,46,59,1,W
1,1802.85302734,0,1811.2989502,1,3,47,65,1,W
1,1802.85302734,0,1811.2989502,1,1,45,62,-1,W
1,1802.85302734,0,1811.2989502,1,1,49,63,-1,W
2,1802.85302734,0,1811.2989502,2,2,58,71,0,W
2,1802.85302734,0,1811.2989502,2,2,56,69,0,W
2,1802.85302734,0,1811.2989502,2,2,52,73,0,W
2,1802.85302734,0,1811.2989502,2,2,59,81,0,W
2,1802.85302734,0,1811.2989502,2,2,63,78,0,W
2,1802.85302734,0,1811.2989502,2,2,63,78,0,W
3,1802.85302734,0,1811.2989502,3,3,55,81,1,W
3,1802.85302734,0,1811.2989502,3,3,51,78,1,W
3,1802.85302734,0,1811.2989502,3,3,45,76,1,W
3,1802.85302734,0,1811.2989502,3,3,46,74,1,W
3,1802.85302734,0,1811.2989502,3,3,46,74,1,W
3,1802.85302734,0,1811.2989502,3,3,61,85,1,W
3,1802.85302734,0,1811.2989502,3,3,59,83,1,W
3,1802.85302734,0,1811.2989502,3,3,59,83,1,W
3,1802.85302734,0,1811.2989502,3,2,58,83,1,W
3,1802.85302734,0,1811.2989502,3,2,58,83,1,W
3,1802.85302734,0,1811.2989502,3,2,58,83,1,W
3,1802.85302734,0,1811.2989502,3,1,62,85,1,W
3,1802.85302734,0,1811.2989502,3,2,63,85,2,W
3,1802.85302734,0,1811.2989502,3,2,52,84,2,W
3,1802.85302734,0,1811.2989502,3,2,53,83,2,W
3,1802.85302734,0,1811.2989502,3,2,53,84,2,W
3,1802.85302734,0,1811.2989502,3,1,49,81,1,W
3,1802.85302734,0,1811.2989502,3,1,47,81,1,W
3,1802.85302734,0,1811.2989502,3,2,61,90,2,W
3,1802.85302734,0,1811.2989502,3,2,49,85,2,W
3,1802.85302734,0,1811.2989502,4,3,51,87,3,W
3,1802.85302734,0,1811.2989502,4,3,57,92,3,W
3,1802.85302734,0,1811.2989502,4,4,64,94,4,W
3,1802.85302734,0,1811.2989502,4,4,71,96,4,W
3,1802.85302734,0,1811.2989502,4,4,67,101,4,W
3,1802.85302734,0,1811.2989502,4,4,65,101,4,W
3,1802.85302734,0,1811.2989502,4,4,66,102,4,W
3,1802.85302734,0,1811.2989502,4,4,59,102,4,W
3,1802.85302734,0,1811.2989502,4,4,58,103,4,W
