ht_goal,at_goal,ht_elo,at_elo,shot,big_chance,shot_penalty_box,key_pass,pass,short_pass,shot_open_play,final_3rd_pass,minute,shot_6_yard_box,dispossessed,clearance,long_pass,cross,shot_fast_break,tackle,result
0,0,1846.87487793,1709.67285156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W
0,0,1846.87487793,1709.67285156,0,0,0,0,9,9,0,5,1,0,0,-1,0,1,0,0,W
0,0,1846.87487793,1709.67285156,0,0,0,0,20,20,0,16,2,0,0,-2,0,2,0,0,W
0,0,1846.87487793,1709.67285156,0,0,0,0,37,36,0,28,3,0,-1,-2,1,3,0,1,W
0,0,1846.87487793,1709.67285156,1,0,0,1,45,44,0,32,4,0,-1,-2,0,3,0,1,W
0,0,1846.87487793,1709.67285156,2,0,0,1,55,54,1,39,5,1,-1,-5,0,4,0,1,W
0,0,1846.87487793,1709.67285156,3,0,1,2,59,58,2,47,6,1,-1,-7,0,6,0,1,W
0,0,1846.87487793,1709.67285156,3,0,1,2,62,61,2,46,7,1,-1,-7,-2,6,0,1,W
0,0,1846.87487793,1709.67285156,3,0,1,2,81,79,2,60,8,1,-1,-8,-1,7,0,1,W
0,0,1846.87487793,1709.67285156,3,0,1,3,95,93,2,67,9,1,-1,-8,-2,7,0,1,W
0,0,1846.87487793,1709.67285156,4,0,1,3,98,96,3,72,10,1,-1,-9,-2,7,0,1,W
0,0,1846.87487793,1709.67285156,6,0,3,4,112,110,5,79,11,1,-1,-9,-3,7,0,1,W
0,0,1846.87487793,1709.67285156,7,0,3,5,111,110,6,78,12,1,0,-10,-4,7,0,0,W
0,0,1846.87487793,1709.67285156,7,0,3,5,111,110,6,74,13,1,-2,-10,-2,7,0,2,W
0,0,1846.87487793,1709.67285156,7,0,3,5,124,123,6,78,14,1,-2,-10,-2,7,0,2,W
0,0,1846.87487793,1709.67285156,7,0,3,5,124,123,6,78,15,1,-2,-10,-2,7,0,2,W
0,0,1846.87487793,1709.67285156,7,0,3,5,130,130,6,77,16,1,-2,-10,-3,7,0,2,W
0,0,1846.87487793,1709.67285156,7,0,3,5,133,133,6,80,17,1,-2,-12,-3,9,0,2,W
0,0,1846.87487793,1709.67285156,8,0,4,6,141,141,7,86,18,1,-2,-12,-4,10,0,2,W
0,0,1846.87487793,1709.67285156,7,0,4,5,139,139,6,85,19,1,-2,-11,-3,10,0,2,W
0,0,1846.87487793,1709.67285156,7,0,4,5,138,138,6,83,20,1,-2,-9,-4,9,0,2,W
0,0,1846.87487793,1709.67285156,7,0,4,5,136,137,6,79,21,1,-2,-9,-6,9,0,2,W
0,0,1846.87487793,1709.67285156,7,0,4,5,144,145,6,86,22,1,-2,-10,-6,9,0,2,W
0,0,1846.87487793,1709.67285156,7,0,4,5,144,145,6,86,23,1,-2,-10,-6,9,0,2,W
0,0,1846.87487793,1709.67285156,7,0,4,5,144,145,6,86,24,1,-2,-10,-6,9,0,2,W
0,0,1846.87487793,1709.67285156,7,0,4,5,144,145,6,86,25,1,-2,-10,-6,9,0,2,W
0,0,1846.87487793,1709.67285156,8,0,5,5,152,153,7,88,26,1,-2,-11,-6,10,0,2,W
1,0,1846.87487793,1709.67285156,9,0,6,5,152,153,7,88,27,1,-2,-11,-6,10,0,2,W
1,0,1846.87487793,1709.67285156,9,0,6,5,151,152,7,87,28,1,-2,-11,-7,10,0,2,W
