minute,half,ht_elo,at_elo,ht_goal,at_goal,pass,final_3rd_pass,key_pass,corner,big_chance,shot,red,result
0,1,2055.97094727,1565.4329834,0,0,0,0,0,0,0,0,0,W
1,1,2055.97094727,1565.4329834,0,0,11,0,0,0,0,0,0,W
2,1,2055.97094727,1565.4329834,0,0,25,4,0,0,0,0,0,W
3,1,2055.97094727,1565.4329834,0,0,25,7,0,0,0,0,0,W
4,1,2055.97094727,1565.4329834,0,0,33,9,0,0,0,0,0,W
5,1,2055.97094727,1565.4329834,0,0,35,8,0,0,0,0,0,W
6,1,2055.97094727,1565.4329834,0,0,44,10,0,0,0,0,0,W
7,1,2055.97094727,1565.4329834,0,1,44,11,-1,0,-1,-1,0,W
8,1,2055.97094727,1565.4329834,0,1,51,11,-1,0,-1,-1,0,W
9,1,2055.97094727,1565.4329834,0,1,51,11,-1,0,-1,-1,0,W
10,1,2055.97094727,1565.4329834,0,1,51,11,-1,0,-1,-1,0,W
11,1,2055.97094727,1565.4329834,0,1,58,14,-1,0,-1,-1,0,W
12,1,2055.97094727,1565.4329834,1,1,58,14,-1,0,-1,0,0,W
13,1,2055.97094727,1565.4329834,1,1,52,9,-1,0,-1,0,0,W
14,1,2055.97094727,1565.4329834,2,1,44,10,0,0,0,1,0,W
15,1,2055.97094727,1565.4329834,2,1,45,8,0,0,0,1,0,W
16,1,2055.97094727,1565.4329834,3,1,47,9,1,0,1,2,0,W
17,1,2055.97094727,1565.4329834,3,1,45,9,1,0,1,2,0,W
18,1,2055.97094727,1565.4329834,3,1,50,8,1,0,1,2,0,W
19,1,2055.97094727,1565.4329834,3,1,60,20,1,1,1,2,0,W
20,1,2055.97094727,1565.4329834,3,1,61,28,1,2,1,2,0,W
21,1,2055.97094727,1565.4329834,3,1,62,30,1,2,1,2,0,W
22,1,2055.97094727,1565.4329834,3,1,66,32,1,2,1,2,0,W
23,1,2055.97094727,1565.4329834,3,1,78,33,1,2,1,2,0,W
24,1,2055.97094727,1565.4329834,3,1,77,33,1,2,1,2,0,W
25,1,2055.97094727,1565.4329834,3,1,87,32,1,2,1,2,0,W
26,1,2055.97094727,1565.4329834,3,1,91,38,1,2,1,2,0,W
27,1,2055.97094727,1565.4329834,3,1,103,48,1,2,1,2,0,W
28,1,2055.97094727,1565.4329834,3,1,112,53,2,2,2,3,0,W
29,1,2055.97094727,1565.4329834,3,1,126,61,3,2,2,4,0,W
30,1,2055.97094727,1565.4329834,3,1,132,69,3,3,2,4,0,W
31,1,2055.97094727,1565.4329834,3,1,131,75,4,3,2,5,0,W
32,1,2055.97094727,1565.4329834,3,1,146,82,4,3,2,5,0,W
33,1,2055.97094727,1565.4329834,3,1,146,82,4,3,2,5,0,W
