minute,half,ht_elo,at_elo,ht_goal,at_goal,pass,final_3rd_pass,key_pass,corner,big_chance,shot,red,result
0,1,1714.8079834,1803.03857422,0,0,0,0,0,0,0,0,0,D
1,1,1714.8079834,1803.03857422,0,0,-2,1,1,0,0,1,0,D
2,1,1714.8079834,1803.03857422,0,0,-9,0,1,0,0,1,0,D
3,1,1714.8079834,1803.03857422,0,0,-7,6,1,0,0,1,0,D
4,1,1714.8079834,1803.03857422,1,0,-13,7,1,0,0,2,0,D
5,1,1714.8079834,1803.03857422,1,0,-20,7,1,0,0,2,0,D
6,1,1714.8079834,1803.03857422,1,0,-36,7,1,0,0,2,0,D
7,1,1714.8079834,1803.03857422,1,0,-45,7,1,0,0,2,0,D
8,1,1714.8079834,1803.03857422,1,0,-42,7,1,0,0,2,0,D
9,1,1714.8079834,1803.03857422,1,0,-55,7,1,0,0,2,0,D
10,1,1714.8079834,1803.03857422,1,0,-59,3,1,-1,0,2,0,D
11,1,1714.8079834,1803.03857422,1,0,-58,5,1,-1,0,2,0,D
12,1,1714.8079834,1803.03857422,1,0,-63,6,0,-1,-1,1,0,D
13,1,1714.8079834,1803.03857422,1,0,-69,5,0,-2,-1,1,0,D
14,1,1714.8079834,1803.03857422,1,0,-80,5,0,-2,-1,1,0,D
15,1,1714.8079834,1803.03857422,1,0,-75,9,0,-2,-1,1,0,D
16,1,1714.8079834,1803.03857422,1,0,-87,10,0,-2,-1,1,0,D
17,1,1714.8079834,1803.03857422,1,0,-88,9,-1,-2,-1,0,0,D
18,1,1714.8079834,1803.03857422,1,0,-98,9,-1,-2,-1,0,0,D
19,1,1714.8079834,1803.03857422,1,0,-102,9,-1,-2,-1,0,0,D
20,1,1714.8079834,1803.03857422,1,0,-102,10,-1,-2,-1,0,0,D
21,1,1714.8079834,1803.03857422,1,0,-106,13,-1,-1,-1,0,0,D
22,1,1714.8079834,1803.03857422,1,0,-120,10,-1,-1,-1,0,0,D
23,1,1714.8079834,1803.03857422,1,0,-135,8,-1,-1,-1,0,0,D
24,1,1714.8079834,1803.03857422,1,0,-146,5,-1,-1,-1,0,0,D
25,1,1714.8079834,1803.03857422,1,0,-147,7,0,-1,-1,1,0,D
26,1,1714.8079834,1803.03857422,1,0,-165,-5,0,-1,-1,1,0,D
27,1,1714.8079834,1803.03857422,1,0,-168,-12,0,-2,-1,1,0,D
28,1,1714.8079834,1803.03857422,1,0,-170,-15,-1,-2,-1,0,0,D
29,1,1714.8079834,1803.03857422,1,0,-172,-13,-1,-2,-1,0,0,D
30,1,1714.8079834,1803.03857422,1,0,-178,-17,-1,-3,-1,0,0,D
31,1,1714.8079834,1803.03857422,1,0,-179,-15,-1,-3,-1,0,0,D
32,1,1714.8079834,1803.03857422,1,0,-178,-9,-1,-3,-1,0,0,D
33,1,1714.8079834,1803.03857422,1,0,-192,-11,-1,-3,-1,0,0,D
34,1,1714.8079834,1803.03857422,1,1,-197,-13,-2,-3,-2,-1,0,D
35,1,1714.8079834,1803.03857422,1,1,-193,-12,-2,-3,-2,-1,0,D
36,1,1714.8079834,1803.03857422,1,1,-190,-11,-2,-3,-2,-1,0,D
37,1,1714.8079834,1803.03857422,1,1,-189,-8,-1,-3,-2,0,0,D
