minute,half,ht_elo,at_elo,ht_goal,at_goal,pass,final_3rd_pass,key_pass,corner,big_chance,shot,red,result
0,1,1687.83105469,1702.81530762,0,0,0,0,0,0,0,0,0,D
1,1,1687.83105469,1702.81530762,0,0,-2,0,0,0,0,0,0,D
2,1,1687.83105469,1702.81530762,0,0,8,0,0,0,0,0,0,D
3,1,1687.83105469,1702.81530762,0,0,11,2,0,0,0,0,0,D
4,1,1687.83105469,1702.81530762,0,0,15,10,0,0,0,0,0,D
5,1,1687.83105469,1702.81530762,0,0,9,11,0,0,0,0,0,D
6,1,1687.83105469,1702.81530762,0,0,3,4,-1,0,0,-1,0,D
7,1,1687.83105469,1702.81530762,0,0,0,0,-1,0,0,-1,0,D
8,1,1687.83105469,1702.81530762,0,0,0,-2,-2,-1,0,-2,0,D
9,1,1687.83105469,1702.81530762,0,0,-9,-6,-2,-1,0,-2,0,D
10,1,1687.83105469,1702.81530762,0,0,-16,-10,-2,-1,0,-2,0,D
11,1,1687.83105469,1702.81530762,0,0,-17,-9,-2,-1,0,-2,0,D
12,1,1687.83105469,1702.81530762,0,0,-14,-9,-2,-1,0,-2,0,D
13,1,1687.83105469,1702.81530762,0,0,-21,-9,-2,-1,0,-2,0,D
14,1,1687.83105469,1702.81530762,0,0,-26,-14,-3,-1,0,-3,0,D
15,1,1687.83105469,1702.81530762,0,0,-31,-15,-3,-1,0,-3,0,D
16,1,1687.83105469,1702.81530762,0,0,-31,-15,-3,-1,0,-3,0,D
17,1,1687.83105469,1702.81530762,0,0,-27,-13,-2,-1,1,-2,0,D
18,1,1687.83105469,1702.81530762,0,0,-26,-13,-2,-1,1,-2,0,D
19,1,1687.83105469,1702.81530762,0,0,-23,-14,-3,-1,1,-3,0,D
20,1,1687.83105469,1702.81530762,0,0,-16,-8,-2,-1,1,-2,0,D
21,1,1687.83105469,1702.81530762,0,0,-19,-8,-2,-1,1,-2,0,D
22,1,1687.83105469,1702.81530762,0,0,-8,-4,-1,-1,1,-1,0,D
23,1,1687.83105469,1702.81530762,0,0,-19,-10,-1,-1,1,-1,0,D
24,1,1687.83105469,1702.81530762,0,0,-20,-13,-1,-1,1,-1,0,D
25,1,1687.83105469,1702.81530762,0,0,-25,-15,-2,-1,1,-2,0,D
26,1,1687.83105469,1702.81530762,0,0,-18,-15,-2,-1,1,-2,0,D
27,1,1687.83105469,1702.81530762,0,0,-22,-16,-2,-1,1,-2,0,D
28,1,1687.83105469,1702.81530762,0,0,-20,-15,-2,-1,1,-2,0,D
29,1,1687.83105469,1702.81530762,0,0,-20,-19,-2,-2,1,-2,0,D
30,1,1687.83105469,1702.81530762,0,0,-40,-23,-2,-2,1,-2,0,D
31,1,1687.83105469,1702.81530762,0,0,-42,-24,-2,-2,1,-2,0,D
32,1,1687.83105469,1702.81530762,0,0,-55,-30,-2,-2,1,-2,0,D
33,1,1687.83105469,1702.81530762,0,0,-60,-36,-2,-2,1,-2,0,D
34,1,1687.83105469,1702.81530762,0,0,-71,-39,-2,-2,1,-2,0,D
