minute,half,ht_elo,at_elo,ht_goal,at_goal,pass,final_3rd_pass,key_pass,corner,big_chance,shot,red,result
0,1,1751.55407715,1785.75463867,0,0,0,0,0,0,0,0,0,L
1,1,1751.55407715,1785.75463867,0,0,0,0,0,0,0,0,0,L
2,1,1751.55407715,1785.75463867,0,0,0,0,0,0,0,0,0,L
3,1,1751.55407715,1785.75463867,0,0,4,0,0,0,0,0,0,L
4,1,1751.55407715,1785.75463867,0,0,12,0,0,0,0,0,0,L
5,1,1751.55407715,1785.75463867,0,0,8,-6,0,-1,0,0,0,L
6,1,1751.55407715,1785.75463867,0,0,16,-8,0,-1,0,0,0,L
7,1,1751.55407715,1785.75463867,0,0,17,-8,1,-1,1,1,0,L
8,1,1751.55407715,1785.75463867,0,0,7,-5,2,-1,1,2,0,L
9,1,1751.55407715,1785.75463867,0,0,10,-4,2,-1,1,2,0,L
10,1,1751.55407715,1785.75463867,0,0,16,-5,2,-1,1,2,0,L
11,1,1751.55407715,1785.75463867,0,0,17,-3,2,-1,1,2,0,L
12,1,1751.55407715,1785.75463867,0,0,24,6,2,0,1,3,0,L
13,1,1751.55407715,1785.75463867,0,0,25,7,1,1,1,2,0,L
14,1,1751.55407715,1785.75463867,0,0,39,9,1,1,1,2,0,L
15,1,1751.55407715,1785.75463867,0,0,33,8,1,1,1,2,0,L
16,1,1751.55407715,1785.75463867,0,0,32,9,1,1,1,2,0,L
17,1,1751.55407715,1785.75463867,0,0,26,9,1,1,1,2,0,L
18,1,1751.55407715,1785.75463867,0,0,18,6,1,1,1,2,0,L
19,1,1751.55407715,1785.75463867,0,0,18,6,1,1,1,2,0,L
20,1,1751.55407715,1785.75463867,0,0,18,6,1,1,1,2,0,L
21,1,1751.55407715,1785.75463867,0,0,18,5,1,0,1,2,0,L
22,1,1751.55407715,1785.75463867,0,0,4,-1,1,0,1,2,0,L
23,1,1751.55407715,1785.75463867,0,0,4,-1,1,0,1,2,0,L
24,1,1751.55407715,1785.75463867,0,0,4,-1,1,0,1,2,0,L
25,1,1751.55407715,1785.75463867,0,0,-1,-7,1,0,1,2,0,L
26,1,1751.55407715,1785.75463867,0,0,-1,-10,0,0,1,1,0,L
27,1,1751.55407715,1785.75463867,0,0,-1,-10,0,0,1,1,0,L
28,1,1751.55407715,1785.75463867,0,0,1,-10,0,0,1,1,0,L
29,1,1751.55407715,1785.75463867,0,1,3,-10,0,0,1,0,0,L
30,1,1751.55407715,1785.75463867,0,1,9,-8,0,0,1,0,0,L
31,1,1751.55407715,1785.75463867,0,1,11,-9,0,0,1,0,0,L
32,1,1751.55407715,1785.75463867,0,1,15,-10,0,0,1,0,0,L
33,1,1751.55407715,1785.75463867,0,1,26,-4,1,0,1,1,0,L
34,1,1751.55407715,1785.75463867,0,1,28,-6,1,0,1,1,0,L
35,1,1751.55407715,1785.75463867,0,1,28,-2,1,0,1,1,0,L
36,1,1751.55407715,1785.75463867,0,1,24,1,2,0,1,2,0,L
37,1,1751.55407715,1785.75463867,0,1,27,0,2,0,1,2,0,L
38,1,1751.55407715,1785.75463867,0,1,38,1,2,0,1,2,0,L
39,1,1751.55407715,1785.75463867,0,1,43,6,2,1,1,2,0,L
40,1,1751.55407715,1785.75463867,0,1,50,9,2,1,1,2,0,L
41,1,1751.55407715,1785.75463867,0,1,54,8,2,1,1,2,0,L
42,1,1751.55407715,1785.75463867,0,1,70,14,2,1,1,2,0,L
43,1,1751.55407715,1785.75463867,0,1,79,23,3,1,1,3,0,L
44,1,1751.55407715,1785.75463867,0,1,84,28,4,2,1,4,0,L
45,1,1751.55407715,1785.75463867,0,1,97,28,4,2,1,4,0,L
46,1,1751.55407715,1785.75463867,0,1,105,28,4,2,1,4,0,L
47,1,1751.55407715,1785.75463867,0,1,104,29,4,2,1,5,0,L
48,1,1751.55407715,1785.75463867,0,1,102,33,4,2,1,5,0,L
49,1,1751.55407715,1785.75463867,0,1,107,36,4,2,1,5,0,L
50,1,1751.55407715,1785.75463867,0,1,102,39,4,2,1,5,0,L
51,1,1751.55407715,1785.75463867,0,1,99,38,4,2,1,5,0,L
52,1,1751.55407715,1785.75463867,0,1,99,37,4,2,1,5,0,L
45,2,1751.55407715,1785.75463867,0,1,99,36,4,2,1,5,0,L
46,2,1751.55407715,1785.75463867,0,1,99,30,3,2,1,4,0,L
47,2,1751.55407715,1785.75463867,0,1,109,35,3,2,1,4,0,L
