ht_goal,ht_elo,at_goal,at_elo,big_chance,shot,pass,final_3rd_pass,key_pass,result
0,1575.90454102,0,1951.68859863,0,0,0,0,0,L
0,1575.90454102,0,1951.68859863,0,0,-11,-3,0,L
0,1575.90454102,0,1951.68859863,0,-3,-16,-11,-1,L
0,1575.90454102,0,1951.68859863,0,-3,-17,-10,-1,L
0,1575.90454102,0,1951.68859863,-1,-3,-33,-17,-2,L
0,1575.90454102,1,1951.68859863,-1,-4,-40,-25,-2,L
0,1575.90454102,1,1951.68859863,-1,-4,-42,-26,-2,L
0,1575.90454102,1,1951.68859863,-1,-4,-44,-34,-2,L
0,1575.90454102,1,1951.68859863,-1,-4,-47,-37,-3,L
0,1575.90454102,1,1951.68859863,-1,-5,-48,-38,-3,L
0,1575.90454102,1,1951.68859863,-1,-5,-51,-42,-3,L
0,1575.90454102,1,1951.68859863,-1,-6,-68,-48,-4,L
0,1575.90454102,1,1951.68859863,-1,-7,-81,-52,-5,L
0,1575.90454102,2,1951.68859863,-1,-7,-88,-54,-5,L
0,1575.90454102,2,1951.68859863,-1,-7,-92,-53,-5,L
0,1575.90454102,2,1951.68859863,-1,-7,-92,-53,-5,L
0,1575.90454102,3,1951.68859863,-1,-8,-96,-55,-6,L
0,1575.90454102,3,1951.68859863,-1,-8,-94,-54,-6,L
0,1575.90454102,3,1951.68859863,-1,-8,-90,-52,-6,L
0,1575.90454102,3,1951.68859863,-1,-8,-86,-53,-5,L
0,1575.90454102,3,1951.68859863,-1,-7,-99,-53,-5,L
0,1575.90454102,3,1951.68859863,-1,-8,-110,-57,-6,L
0,1575.90454102,3,1951.68859863,-1,-9,-121,-67,-7,L
0,1575.90454102,3,1951.68859863,-1,-9,-118,-67,-7,L
0,1575.90454102,3,1951.68859863,-1,-9,-112,-66,-7,L
0,1575.90454102,4,1951.68859863,-1,-10,-111,-66,-8,L
0,1575.90454102,4,1951.68859863,-1,-10,-112,-64,-8,L
0,1575.90454102,4,1951.68859863,-1,-10,-131,-66,-8,L
0,1575.90454102,4,1951.68859863,-1,-10,-147,-72,-8,L
0,1575.90454102,4,1951.68859863,-1,-10,-165,-90,-8,L
0,1575.90454102,4,1951.68859863,-1,-10,-166,-91,-8,L
0,1575.90454102,4,1951.68859863,-1,-10,-170,-95,-8,L
0,1575.90454102,4,1951.68859863,-1,-10,-182,-98,-8,L
0,1575.90454102,4,1951.68859863,-1,-10,-201,-110,-8,L
0,1575.90454102,4,1951.68859863,-1,-10,-221,-125,-8,L
0,1575.90454102,4,1951.68859863,-1,-10,-230,-133,-9,L
0,1575.90454102,4,1951.68859863,-1,-11,-230,-133,-9,L
0,1575.90454102,4,1951.68859863,-1,-12,-243,-143,-10,L
0,1575.90454102,4,1951.68859863,-1,-13,-262,-160,-11,L
0,1575.90454102,5,1951.68859863,-1,-14,-271,-165,-12,L
0,1575.90454102,5,1951.68859863,-1,-14,-273,-163,-12,L
0,1575.90454102,5,1951.68859863,-1,-14,-273,-160,-12,L
0,1575.90454102,5,1951.68859863,-1,-14,-282,-167,-12,L
0,1575.90454102,5,1951.68859863,-1,-15,-282,-167,-13,L
0,1575.90454102,5,1951.68859863,-1,-15,-290,-166,-13,L
0,1575.90454102,5,1951.68859863,-1,-15,-302,-173,-13,L
0,1575.90454102,5,1951.68859863,-1,-15,-307,-173,-13,L
0,1575.90454102,5,1951.68859863,-1,-15,-318,-175,-13,L
0,1575.90454102,5,1951.68859863,-1,-15,-323,-174,-13,L
0,1575.90454102,5,1951.68859863,-1,-15,-335,-174,-13,L
0,1575.90454102,5,1951.68859863,-1,-15,-348,-181,-13,L
0,1575.90454102,5,1951.68859863,-1,-15,-348,-181,-13,L
0,1575.90454102,5,1951.68859863,-1,-14,-343,-176,-12,L
0,1575.90454102,5,1951.68859863,-1,-14,-343,-176,-12,L
0,1575.90454102,5,1951.68859863,-1,-14,-355,-177,-12,L
0,1575.90454102,5,1951.68859863,-1,-14,-357,-179,-12,L
0,1575.90454102,5,1951.68859863,-1,-14,-358,-182,-12,L
0,1575.90454102,5,1951.68859863,-1,-14,-366,-186,-12,L
0,1575.90454102,5,1951.68859863,-1,-15,-366,-185,-12,L
0,1575.90454102,5,1951.68859863,-1,-16,-372,-188,-13,L
0,1575.90454102,5,1951.68859863,-1,-16,-385,-195,-13,L
0,1575.90454102,5,1951.68859863,-1,-16,-396,-205,-13,L
0,1575.90454102,5,1951.68859863,-1,-16,-412,-213,-13,L
0,1575.90454102,5,1951.68859863,-1,-17,-437,-232,-14,L
0,1575.90454102,6,1951.68859863,-1,-18,-442,-234,-15,L
0,1575.90454102,6,1951.68859863,-1,-18,-446,-234,-15,L
0,1575.90454102,6,1951.68859863,-1,-18,-459,-241,-15,L
0,1575.90454102,6,1951.68859863,-1,-18,-461,-245,-15,L
0,1575.90454102,6,1951.68859863,-1,-18,-461,-245,-15,L
0,1575.90454102,6,1951.68859863,-1,-18,-455,-242,-15,L
0,1575.90454102,6,1951.68859863,-1,-18,-455,-242,-15,L
0,1575.90454102,6,1951.68859863,-1,-18,-457,-242,-15,L
0,1575.90454102,6,1951.68859863,-1,-18,-475,-242,-15,L
