ht_goal,at_goal,ht_elo,at_elo,shot,big_chance,shot_penalty_box,key_pass,pass,short_pass,shot_open_play,final_3rd_pass,minute,shot_6_yard_box,dispossessed,clearance,long_pass,cross,shot_fast_break,tackle,result
0,0,1750.45532227,1656.16137695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D
0,0,1750.45532227,1656.16137695,0,0,0,0,-6,-4,0,-2,1,0,0,0,-1,0,0,0,D
0,0,1750.45532227,1656.16137695,0,0,0,0,-19,-16,0,-3,2,0,-1,0,-1,0,0,0,D
0,0,1750.45532227,1656.16137695,0,0,0,0,-26,-23,0,-8,3,0,-1,1,-1,-1,0,0,D
0,0,1750.45532227,1656.16137695,0,0,0,0,-34,-30,0,-13,4,0,-1,1,-3,-2,0,0,D
0,0,1750.45532227,1656.16137695,0,0,0,0,-37,-32,0,-19,5,0,-1,3,-2,-4,0,0,D
0,0,1750.45532227,1656.16137695,-1,0,0,-1,-39,-35,-1,-18,6,0,-1,3,-2,-4,0,0,D
0,0,1750.45532227,1656.16137695,-1,0,0,-1,-40,-36,-1,-18,7,0,-1,2,-2,-4,0,0,D
0,0,1750.45532227,1656.16137695,-1,0,0,-1,-39,-37,-1,-14,8,0,-1,2,0,-4,0,0,D
0,0,1750.45532227,1656.16137695,-1,0,0,-1,-43,-41,-1,-18,9,0,-1,2,0,-4,0,-1,D
0,0,1750.45532227,1656.16137695,-1,0,0,-1,-41,-40,-1,-18,10,0,-1,2,1,-4,0,-2,D
0,0,1750.45532227,1656.16137695,-1,0,0,-1,-49,-47,-1,-18,11,0,-1,2,0,-4,0,-2,D
0,0,1750.45532227,1656.16137695,-1,0,0,-1,-48,-46,-1,-23,12,0,-1,3,0,-6,0,-2,D
0,0,1750.45532227,1656.16137695,-1,0,0,-1,-48,-46,-1,-22,13,0,-1,3,1,-6,0,-2,D
0,0,1750.45532227,1656.16137695,-1,0,0,-1,-50,-48,-1,-25,14,0,-1,3,1,-6,0,-2,D
