ht_goal,ht_elo,at_goal,at_elo,big_chance,shot,pass,final_3rd_pass,key_pass,result
0,1972.5045166,0,1867.26586914,0,0,0,0,0,W
0,1972.5045166,0,1867.26586914,0,1,5,7,1,W
0,1972.5045166,0,1867.26586914,0,1,-2,8,1,W
0,1972.5045166,0,1867.26586914,0,1,2,9,1,W
0,1972.5045166,0,1867.26586914,0,1,1,11,1,W
0,1972.5045166,0,1867.26586914,0,1,16,9,1,W
0,1972.5045166,0,1867.26586914,0,1,23,11,1,W
0,1972.5045166,0,1867.26586914,0,1,27,22,1,W
0,1972.5045166,0,1867.26586914,0,1,28,18,1,W
0,1972.5045166,0,1867.26586914,0,1,31,13,1,W
0,1972.5045166,0,1867.26586914,0,1,35,15,1,W
0,1972.5045166,0,1867.26586914,0,2,35,16,2,W
0,1972.5045166,0,1867.26586914,0,2,47,24,2,W
0,1972.5045166,0,1867.26586914,0,2,67,27,2,W
0,1972.5045166,0,1867.26586914,0,2,78,28,2,W
0,1972.5045166,0,1867.26586914,0,2,80,33,2,W
0,1972.5045166,0,1867.26586914,0,2,73,32,2,W
0,1972.5045166,0,1867.26586914,0,2,76,31,2,W
0,1972.5045166,0,1867.26586914,0,2,80,31,2,W
0,1972.5045166,0,1867.26586914,0,2,82,29,2,W
0,1972.5045166,0,1867.26586914,0,2,86,29,2,W
0,1972.5045166,0,1867.26586914,0,3,96,31,3,W
0,1972.5045166,0,1867.26586914,0,3,114,37,3,W
0,1972.5045166,0,1867.26586914,0,3,123,42,3,W
0,1972.5045166,0,1867.26586914,0,3,140,57,3,W
0,1972.5045166,0,1867.26586914,0,3,146,66,3,W
1,1972.5045166,0,1867.26586914,0,4,160,69,3,W
1,1972.5045166,0,1867.26586914,0,4,161,67,3,W
1,1972.5045166,0,1867.26586914,0,4,165,68,3,W
1,1972.5045166,0,1867.26586914,0,5,167,68,3,W
1,1972.5045166,0,1867.26586914,0,5,182,80,3,W
1,1972.5045166,0,1867.26586914,0,5,197,82,3,W
1,1972.5045166,0,1867.26586914,0,5,211,93,3,W
1,1972.5045166,1,1867.26586914,-1,5,211,93,3,W
1,1972.5045166,1,1867.26586914,-1,5,217,97,3,W
1,1972.5045166,1,1867.26586914,-1,6,234,104,4,W
1,1972.5045166,1,1867.26586914,-1,6,234,105,4,W
1,1972.5045166,1,1867.26586914,-1,6,247,104,4,W
1,1972.5045166,1,1867.26586914,-1,6,258,110,4,W
1,1972.5045166,1,1867.26586914,-1,6,267,110,4,W
1,1972.5045166,1,1867.26586914,-1,6,278,120,4,W
1,1972.5045166,1,1867.26586914,-1,7,291,127,5,W
1,1972.5045166,1,1867.26586914,-1,7,307,134,5,W
1,1972.5045166,1,1867.26586914,-1,7,319,144,5,W
1,1972.5045166,1,1867.26586914,-1,7,332,150,5,W
1,1972.5045166,1,1867.26586914,-1,7,332,147,5,W
1,1972.5045166,1,1867.26586914,-1,7,327,145,5,W
1,1972.5045166,1,1867.26586914,-1,7,327,145,5,W
1,1972.5045166,1,1867.26586914,-1,6,325,142,5,W
1,1972.5045166,1,1867.26586914,-1,6,325,142,5,W
1,1972.5045166,1,1867.26586914,-1,6,323,140,5,W
1,1972.5045166,1,1867.26586914,-1,6,331,140,5,W
1,1972.5045166,1,1867.26586914,-1,6,338,143,6,W
1,1972.5045166,1,1867.26586914,-1,6,333,138,6,W
1,1972.5045166,1,1867.26586914,-1,5,339,139,5,W
1,1972.5045166,1,1867.26586914,-1,5,348,146,5,W
1,1972.5045166,1,1867.26586914,-1,5,347,145,5,W
1,1972.5045166,1,1867.26586914,-1,6,353,149,6,W
1,1972.5045166,1,1867.26586914,-1,6,373,151,6,W
1,1972.5045166,1,1867.26586914,-1,7,378,156,7,W
1,1972.5045166,1,1867.26586914,-1,7,379,158,7,W
1,1972.5045166,1,1867.26586914,-1,7,382,161,7,W
1,1972.5045166,1,1867.26586914,-1,7,388,160,7,W
1,1972.5045166,1,1867.26586914,-1,7,396,170,7,W
1,1972.5045166,1,1867.26586914,-1,7,404,179,7,W
1,1972.5045166,1,1867.26586914,-3,5,401,176,5,W
1,1972.5045166,1,1867.26586914,-3,5,402,177,5,W
1,1972.5045166,1,1867.26586914,-3,5,418,184,5,W
1,1972.5045166,1,1867.26586914,-3,5,429,187,5,W
1,1972.5045166,1,1867.26586914,-3,6,430,188,6,W
1,1972.5045166,1,1867.26586914,-3,6,433,188,6,W
1,1972.5045166,1,1867.26586914,-3,7,432,188,7,W
1,1972.5045166,1,1867.26586914,-3,8,449,202,8,W
1,1972.5045166,1,1867.26586914,-3,8,450,202,8,W
1,1972.5045166,1,1867.26586914,-3,8,460,208,8,W
1,1972.5045166,1,1867.26586914,-3,9,472,212,9,W
1,1972.5045166,1,1867.26586914,-3,9,473,213,9,W
1,1972.5045166,1,1867.26586914,-3,9,483,220,9,W
1,1972.5045166,1,1867.26586914,-3,9,485,220,9,W
1,1972.5045166,1,1867.26586914,-3,9,502,227,9,W
1,1972.5045166,1,1867.26586914,-3,9,501,229,9,W
1,1972.5045166,1,1867.26586914,-3,8,505,230,8,W
1,1972.5045166,1,1867.26586914,-3,8,517,232,8,W
1,1972.5045166,1,1867.26586914,-3,8,524,238,8,W
1,1972.5045166,1,1867.26586914,-3,8,541,247,9,W
1,1972.5045166,1,1867.26586914,-3,9,550,255,9,W
1,1972.5045166,1,1867.26586914,-3,9,557,256,9,W
1,1972.5045166,1,1867.26586914,-3,9,556,258,9,W
1,1972.5045166,1,1867.26586914,-3,9,556,257,9,W
1,1972.5045166,1,1867.26586914,-3,9,560,255,9,W
1,1972.5045166,1,1867.26586914,-3,9,564,255,9,W
1,1972.5045166,1,1867.26586914,-3,8,573,256,9,W
2,1972.5045166,1,1867.26586914,-3,9,574,258,10,W
2,1972.5045166,1,1867.26586914,-3,9,571,259,10,W
2,1972.5045166,1,1867.26586914,-3,9,564,258,10,W
2,1972.5045166,1,1867.26586914,-3,9,562,258,10,W
