minute,half,ht_elo,at_elo,ht_goal,at_goal,pass,final_3rd_pass,key_pass,corner,big_chance,shot,red,result
0,1,1589.14501953,1662.57763672,0,0,0,0,0,0,0,0,0,W
1,1,1589.14501953,1662.57763672,0,0,2,0,-1,0,0,-1,0,W
2,1,1589.14501953,1662.57763672,0,0,2,-1,-1,0,0,-1,0,W
3,1,1589.14501953,1662.57763672,0,0,1,-2,-1,0,0,-1,0,W
4,1,1589.14501953,1662.57763672,0,0,0,-5,-1,0,0,-2,0,W
5,1,1589.14501953,1662.57763672,0,0,-4,-7,-2,0,-1,-4,0,W
6,1,1589.14501953,1662.57763672,0,0,-3,-5,-2,0,-1,-4,0,W
7,1,1589.14501953,1662.57763672,0,0,-4,-3,-2,0,-1,-4,0,W
8,1,1589.14501953,1662.57763672,0,0,-4,-1,-2,0,-1,-4,0,W
9,1,1589.14501953,1662.57763672,0,0,1,8,-2,0,-1,-4,0,W
10,1,1589.14501953,1662.57763672,0,0,1,10,-2,1,-1,-4,0,W
11,1,1589.14501953,1662.57763672,0,0,0,10,-2,1,-1,-3,0,W
12,1,1589.14501953,1662.57763672,0,0,-6,6,-1,1,-1,-2,0,W
13,1,1589.14501953,1662.57763672,1,0,-6,7,-1,2,-1,-1,0,W
14,1,1589.14501953,1662.57763672,1,0,-9,6,-1,2,-1,-1,0,W
15,1,1589.14501953,1662.57763672,1,0,-11,4,-1,2,-1,-1,0,W
16,1,1589.14501953,1662.57763672,1,0,-21,0,-2,2,-1,-2,0,W
17,1,1589.14501953,1662.57763672,1,0,-22,-6,-2,0,-1,-2,0,W
18,1,1589.14501953,1662.57763672,1,0,-22,-6,-2,0,-1,-2,0,W
19,1,1589.14501953,1662.57763672,1,0,-20,-5,-2,0,-1,-2,0,W
20,1,1589.14501953,1662.57763672,1,0,-17,-5,-2,0,-1,-2,0,W
21,1,1589.14501953,1662.57763672,1,0,-9,-4,-2,0,-1,-2,0,W
22,1,1589.14501953,1662.57763672,1,0,-3,-5,-2,0,-1,-2,0,W
23,1,1589.14501953,1662.57763672,1,0,-1,-1,-2,1,-1,-2,0,W
24,1,1589.14501953,1662.57763672,1,0,5,1,-1,1,-1,-1,0,W
25,1,1589.14501953,1662.57763672,1,0,7,0,-1,1,-1,-1,0,W
26,1,1589.14501953,1662.57763672,1,0,12,0,-1,1,-1,-1,0,W
27,1,1589.14501953,1662.57763672,1,0,15,7,-1,1,-1,-1,0,W
28,1,1589.14501953,1662.57763672,1,0,20,8,-1,1,-1,-1,0,W
29,1,1589.14501953,1662.57763672,1,0,17,5,-1,1,-1,-1,0,W
30,1,1589.14501953,1662.57763672,1,0,21,8,0,1,-1,0,0,W
31,1,1589.14501953,1662.57763672,1,0,22,10,0,2,-1,0,0,W
32,1,1589.14501953,1662.57763672,1,0,27,10,0,2,-1,0,0,W
33,1,1589.14501953,1662.57763672,1,0,29,13,0,2,-1,0,0,W
34,1,1589.14501953,1662.57763672,1,0,29,15,2,4,-1,3,0,W
35,1,1589.14501953,1662.57763672,1,0,25,15,3,5,-1,4,0,W
36,1,1589.14501953,1662.57763672,1,0,35,22,3,5,-1,4,0,W
37,1,1589.14501953,1662.57763672,1,0,20,19,3,5,-1,4,0,W
38,1,1589.14501953,1662.57763672,1,0,15,13,3,5,-1,4,0,W
39,1,1589.14501953,1662.57763672,1,0,11,10,2,5,-1,3,0,W
40,1,1589.14501953,1662.57763672,1,0,8,7,1,4,-1,2,0,W
41,1,1589.14501953,1662.57763672,1,0,8,7,0,4,-1,1,0,W
42,1,1589.14501953,1662.57763672,1,0,12,10,0,4,-1,1,0,W
43,1,1589.14501953,1662.57763672,1,0,11,12,0,5,-1,1,0,W
44,1,1589.14501953,1662.57763672,1,0,12,14,0,5,-1,1,0,W
45,1,1589.14501953,1662.57763672,1,0,24,15,0,5,-1,1,0,W
46,1,1589.14501953,1662.57763672,1,0,30,18,1,5,-1,2,0,W
47,1,1589.14501953,1662.57763672,1,0,46,18,1,5,-1,2,0,W
45,2,1589.14501953,1662.57763672,1,0,49,18,1,5,-1,2,0,W
46,2,1589.14501953,1662.57763672,1,0,43,10,1,5,-1,2,0,W
47,2,1589.14501953,1662.57763672,1,0,48,11,1,6,-1,2,0,W
48,2,1589.14501953,1662.57763672,1,0,55,11,1,6,-1,2,0,W
49,2,1589.14501953,1662.57763672,1,0,50,7,0,5,-1,1,0,W
50,2,1589.14501953,1662.57763672,1,0,44,4,0,5,-1,1,0,W
51,2,1589.14501953,1662.57763672,1,0,48,9,0,5,-1,1,0,W
52,2,1589.14501953,1662.57763672,1,0,47,11,2,7,0,3,0,W
53,2,1589.14501953,1662.57763672,1,0,50,13,3,7,0,4,0,W
54,2,1589.14501953,1662.57763672,1,0,53,16,3,7,0,4,0,W
55,2,1589.14501953,1662.57763672,1,0,53,18,3,8,0,4,0,W
56,2,1589.14501953,1662.57763672,1,0,43,11,2,8,0,2,0,W
57,2,1589.14501953,1662.57763672,1,0,51,13,2,8,0,2,0,W
58,2,1589.14501953,1662.57763672,1,0,51,13,2,8,0,2,0,W
59,2,1589.14501953,1662.57763672,1,0,53,15,3,9,0,4,0,W
60,2,1589.14501953,1662.57763672,1,0,54,14,3,9,0,4,0,W
61,2,1589.14501953,1662.57763672,1,0,53,13,2,8,0,3,0,W
62,2,1589.14501953,1662.57763672,1,0,56,15,2,8,0,3,0,W
63,2,1589.14501953,1662.57763672,1,0,52,13,1,8,-1,2,0,W
64,2,1589.14501953,1662.57763672,1,0,58,16,1,8,-1,2,0,W
65,2,1589.14501953,1662.57763672,1,0,65,17,1,8,-1,2,0,W
66,2,1589.14501953,1662.57763672,1,0,66,17,1,8,-1,2,0,W
67,2,1589.14501953,1662.57763672,1,0,58,14,1,8,-1,2,0,W
68,2,1589.14501953,1662.57763672,1,0,54,12,1,8,-1,2,0,W
69,2,1589.14501953,1662.57763672,1,0,50,7,0,8,-1,1,0,W
70,2,1589.14501953,1662.57763672,1,0,50,7,0,8,-1,1,0,W
71,2,1589.14501953,1662.57763672,1,0,50,7,0,8,-1,1,0,W
72,2,1589.14501953,1662.57763672,1,0,50,4,0,5,-1,1,0,W
73,2,1589.14501953,1662.57763672,1,0,53,4,0,5,-1,1,0,W
74,2,1589.14501953,1662.57763672,1,0,53,4,0,5,-1,1,0,W
75,2,1589.14501953,1662.57763672,1,0,53,4,0,5,-1,1,0,W
76,2,1589.14501953,1662.57763672,1,0,52,-2,0,5,-1,1,0,W
77,2,1589.14501953,1662.57763672,1,0,51,-1,0,5,-1,1,0,W
78,2,1589.14501953,1662.57763672,1,0,38,-6,0,5,-1,1,0,W
