ht_goal,ht_elo,at_goal,at_elo,big_chance,shot,pass,final_3rd_pass,key_pass,result
0,1698.68261719,0,1726.13806152,0,0,0,0,0,L
0,1698.68261719,0,1726.13806152,0,0,-4,-2,0,L
0,1698.68261719,0,1726.13806152,0,0,-5,-3,0,L
0,1698.68261719,0,1726.13806152,0,0,-15,-7,0,L
0,1698.68261719,0,1726.13806152,0,0,-17,-11,0,L
0,1698.68261719,0,1726.13806152,0,-1,-17,-14,0,L
0,1698.68261719,0,1726.13806152,0,0,-22,-15,0,L
0,1698.68261719,0,1726.13806152,0,1,-13,-14,0,L
0,1698.68261719,0,1726.13806152,0,1,-10,-15,0,L
0,1698.68261719,0,1726.13806152,0,1,4,-8,0,L
0,1698.68261719,0,1726.13806152,0,1,-8,-6,0,L
0,1698.68261719,0,1726.13806152,0,1,4,-2,0,L
0,1698.68261719,0,1726.13806152,0,1,17,2,0,L
0,1698.68261719,0,1726.13806152,0,1,12,4,-1,L
0,1698.68261719,1,1726.13806152,0,0,12,4,-1,L
0,1698.68261719,1,1726.13806152,0,0,17,6,-1,L
0,1698.68261719,1,1726.13806152,0,0,21,5,-1,L
0,1698.68261719,1,1726.13806152,0,0,22,5,-1,L
0,1698.68261719,1,1726.13806152,0,0,22,3,-1,L
0,1698.68261719,1,1726.13806152,0,0,31,9,-1,L
0,1698.68261719,1,1726.13806152,0,0,23,10,-1,L
0,1698.68261719,1,1726.13806152,0,0,33,15,-1,L
0,1698.68261719,1,1726.13806152,0,0,30,15,-1,L
0,1698.68261719,1,1726.13806152,0,0,35,18,-1,L
0,1698.68261719,1,1726.13806152,0,0,26,15,-1,L
0,1698.68261719,1,1726.13806152,0,-1,23,13,-2,L
0,1698.68261719,1,1726.13806152,0,-1,36,17,-2,L
0,1698.68261719,1,1726.13806152,0,-1,36,17,-2,L
0,1698.68261719,1,1726.13806152,0,-1,38,18,-2,L
0,1698.68261719,1,1726.13806152,0,-1,38,20,-2,L
0,1698.68261719,1,1726.13806152,0,-1,38,20,-2,L
0,1698.68261719,2,1726.13806152,-1,-2,29,16,-3,L
0,1698.68261719,2,1726.13806152,-1,-2,34,17,-3,L
0,1698.68261719,2,1726.13806152,-1,-1,38,25,-2,L
0,1698.68261719,2,1726.13806152,-1,0,48,29,-1,L
0,1698.68261719,2,1726.13806152,-1,0,47,31,-1,L
0,1698.68261719,2,1726.13806152,-1,1,49,31,0,L
0,1698.68261719,2,1726.13806152,-1,1,47,34,0,L
0,1698.68261719,2,1726.13806152,-1,1,46,31,0,L
0,1698.68261719,2,1726.13806152,-1,1,46,31,0,L
0,1698.68261719,2,1726.13806152,-1,1,46,31,0,L
0,1698.68261719,2,1726.13806152,-1,1,54,39,0,L
1,1698.68261719,2,1726.13806152,-1,2,52,38,0,L
1,1698.68261719,2,1726.13806152,-1,2,45,34,0,L
1,1698.68261719,2,1726.13806152,-1,2,44,36,0,L
1,1698.68261719,2,1726.13806152,-1,2,49,35,0,L
1,1698.68261719,2,1726.13806152,-1,2,50,34,0,L
1,1698.68261719,2,1726.13806152,-1,2,49,33,0,L
1,1698.68261719,2,1726.13806152,-1,2,57,34,0,L
2,1698.68261719,2,1726.13806152,0,3,60,37,1,L
2,1698.68261719,2,1726.13806152,0,3,61,38,1,L
2,1698.68261719,2,1726.13806152,0,3,61,39,1,L
2,1698.68261719,2,1726.13806152,0,3,68,40,1,L
2,1698.68261719,2,1726.13806152,0,3,68,39,1,L
2,1698.68261719,2,1726.13806152,0,3,81,44,1,L
2,1698.68261719,2,1726.13806152,0,3,84,50,1,L
2,1698.68261719,2,1726.13806152,0,3,85,50,1,L
2,1698.68261719,2,1726.13806152,0,3,85,51,1,L
2,1698.68261719,2,1726.13806152,0,3,81,49,1,L
2,1698.68261719,2,1726.13806152,0,3,90,52,1,L
2,1698.68261719,2,1726.13806152,0,2,88,52,1,L
2,1698.68261719,2,1726.13806152,0,2,94,58,1,L
2,1698.68261719,2,1726.13806152,0,1,96,57,0,L
2,1698.68261719,2,1726.13806152,0,1,96,58,0,L
2,1698.68261719,2,1726.13806152,0,1,91,52,0,L
2,1698.68261719,2,1726.13806152,0,0,92,54,0,L
2,1698.68261719,2,1726.13806152,0,0,63,50,0,L
2,1698.68261719,2,1726.13806152,0,-1,46,40,-1,L
2,1698.68261719,2,1726.13806152,0,-2,50,38,-1,L
2,1698.68261719,2,1726.13806152,0,-2,60,45,-1,L
2,1698.68261719,2,1726.13806152,0,-1,60,45,-1,L
2,1698.68261719,2,1726.13806152,0,-1,62,48,-1,L
2,1698.68261719,2,1726.13806152,0,-1,61,46,-1,L
2,1698.68261719,2,1726.13806152,0,-1,64,47,-1,L
2,1698.68261719,2,1726.13806152,0,-1,62,47,-1,L
2,1698.68261719,2,1726.13806152,0,-1,64,47,-1,L
2,1698.68261719,2,1726.13806152,0,0,63,49,-1,L
2,1698.68261719,2,1726.13806152,0,0,44,47,-1,L
2,1698.68261719,2,1726.13806152,0,0,42,44,-1,L
2,1698.68261719,2,1726.13806152,0,0,30,44,-1,L
2,1698.68261719,2,1726.13806152,0,1,38,48,0,L
2,1698.68261719,2,1726.13806152,0,1,39,47,0,L
2,1698.68261719,2,1726.13806152,0,1,42,50,0,L
2,1698.68261719,2,1726.13806152,0,1,42,48,0,L
2,1698.68261719,2,1726.13806152,0,1,57,49,0,L
2,1698.68261719,2,1726.13806152,0,3,62,52,2,L
