minute,half,ht_elo,at_elo,ht_goal,at_goal,pass,final_3rd_pass,key_pass,corner,big_chance,shot,red,result
0,1,1636.01452637,2035.03417969,0,0,0,0,0,0,0,0,0,D
1,1,1636.01452637,2035.03417969,0,0,-6,-1,1,0,0,1,0,D
2,1,1636.01452637,2035.03417969,0,0,-15,-1,1,0,0,1,0,D
3,1,1636.01452637,2035.03417969,0,0,-16,1,1,0,0,1,0,D
4,1,1636.01452637,2035.03417969,0,0,-26,2,1,0,0,1,0,D
5,1,1636.01452637,2035.03417969,0,0,-30,4,1,0,0,1,0,D
6,1,1636.01452637,2035.03417969,0,0,-26,11,1,1,0,1,0,D
7,1,1636.01452637,2035.03417969,0,0,-36,11,1,1,0,1,0,D
8,1,1636.01452637,2035.03417969,0,0,-37,14,1,1,0,1,0,D
9,1,1636.01452637,2035.03417969,0,0,-35,19,1,1,0,1,0,D
10,1,1636.01452637,2035.03417969,0,0,-28,30,1,1,0,1,0,D
11,1,1636.01452637,2035.03417969,0,0,-34,34,1,1,0,1,0,D
12,1,1636.01452637,2035.03417969,0,0,-29,36,1,1,0,1,0,D
13,1,1636.01452637,2035.03417969,0,0,-34,40,1,1,0,1,0,D
14,1,1636.01452637,2035.03417969,0,0,-55,37,1,1,0,1,0,D
15,1,1636.01452637,2035.03417969,0,0,-61,35,1,1,0,1,0,D
16,1,1636.01452637,2035.03417969,0,0,-74,30,1,1,0,1,0,D
17,1,1636.01452637,2035.03417969,0,0,-78,22,1,1,0,1,0,D
18,1,1636.01452637,2035.03417969,0,0,-83,15,1,1,0,1,0,D
19,1,1636.01452637,2035.03417969,0,0,-96,12,1,1,0,1,0,D
20,1,1636.01452637,2035.03417969,0,0,-98,10,1,1,0,1,0,D
21,1,1636.01452637,2035.03417969,0,0,-102,11,1,1,0,1,0,D
22,1,1636.01452637,2035.03417969,0,0,-110,4,0,1,0,0,0,D
23,1,1636.01452637,2035.03417969,0,0,-108,6,0,1,0,0,0,D
24,1,1636.01452637,2035.03417969,0,0,-110,10,0,2,0,2,0,D
25,1,1636.01452637,2035.03417969,0,0,-118,7,0,2,0,2,0,D
26,1,1636.01452637,2035.03417969,0,0,-122,5,0,2,0,2,0,D
27,1,1636.01452637,2035.03417969,0,0,-123,4,0,2,0,2,0,D
28,1,1636.01452637,2035.03417969,0,0,-124,1,0,2,0,2,0,D
29,1,1636.01452637,2035.03417969,0,0,-124,2,0,2,0,1,0,D
30,1,1636.01452637,2035.03417969,0,0,-132,4,0,2,0,1,0,D
31,1,1636.01452637,2035.03417969,0,0,-132,8,1,2,0,2,0,D
32,1,1636.01452637,2035.03417969,0,0,-132,8,1,2,0,2,0,D
33,1,1636.01452637,2035.03417969,0,0,-132,8,1,2,0,2,0,D
34,1,1636.01452637,2035.03417969,1,0,-127,10,2,2,0,3,0,D
35,1,1636.01452637,2035.03417969,1,0,-129,11,2,2,0,3,0,D
36,1,1636.01452637,2035.03417969,1,0,-149,4,2,2,0,3,0,D
37,1,1636.01452637,2035.03417969,1,0,-154,1,2,2,0,3,0,D
38,1,1636.01452637,2035.03417969,1,0,-160,3,2,2,0,3,0,D
39,1,1636.01452637,2035.03417969,1,0,-164,-2,1,2,0,2,0,D
40,1,1636.01452637,2035.03417969,1,0,-159,-2,1,2,0,2,0,D
41,1,1636.01452637,2035.03417969,1,0,-167,-5,1,2,0,2,0,D
42,1,1636.01452637,2035.03417969,1,0,-176,-15,1,2,0,2,0,D
43,1,1636.01452637,2035.03417969,1,0,-179,-12,1,2,0,2,0,D
44,1,1636.01452637,2035.03417969,1,0,-186,-14,1,2,0,2,0,D
45,1,1636.01452637,2035.03417969,1,0,-200,-17,1,2,0,2,0,D
46,1,1636.01452637,2035.03417969,1,0,-206,-20,1,2,0,2,0,D
47,1,1636.01452637,2035.03417969,1,0,-215,-25,1,2,0,2,0,D
45,2,1636.01452637,2035.03417969,1,0,-215,-25,1,2,0,2,0,D
46,2,1636.01452637,2035.03417969,1,0,-212,-21,1,2,0,2,0,D
47,2,1636.01452637,2035.03417969,1,0,-212,-20,1,2,0,2,0,D
48,2,1636.01452637,2035.03417969,1,0,-202,-14,1,2,0,2,0,D
49,2,1636.01452637,2035.03417969,1,0,-202,-14,1,2,0,2,0,D
50,2,1636.01452637,2035.03417969,1,0,-201,-14,1,2,0,2,0,D
51,2,1636.01452637,2035.03417969,1,0,-200,-13,1,2,0,2,0,D
52,2,1636.01452637,2035.03417969,1,0,-207,-13,1,2,0,2,0,D
53,2,1636.01452637,2035.03417969,1,0,-208,-14,1,1,0,2,0,D
54,2,1636.01452637,2035.03417969,1,0,-213,-11,1,1,0,2,0,D
55,2,1636.01452637,2035.03417969,1,0,-223,-13,1,1,0,2,0,D
56,2,1636.01452637,2035.03417969,1,0,-221,-16,2,1,0,3,0,D
57,2,1636.01452637,2035.03417969,1,0,-216,-10,3,1,0,4,0,D
58,2,1636.01452637,2035.03417969,1,0,-210,-6,4,2,0,5,0,D
59,2,1636.01452637,2035.03417969,1,0,-210,-7,4,2,0,5,0,D
60,2,1636.01452637,2035.03417969,1,0,-208,-10,4,2,0,5,0,D
61,2,1636.01452637,2035.03417969,1,0,-215,-13,3,2,-1,4,0,D
62,2,1636.01452637,2035.03417969,1,0,-215,-13,3,2,-1,4,0,D
63,2,1636.01452637,2035.03417969,1,0,-220,-10,3,2,-1,4,0,D
64,2,1636.01452637,2035.03417969,1,0,-220,-10,3,2,-1,4,0,D
65,2,1636.01452637,2035.03417969,1,1,-221,-12,3,2,-1,3,0,D
66,2,1636.01452637,2035.03417969,1,1,-220,-12,3,2,-1,3,0,D
67,2,1636.01452637,2035.03417969,1,1,-226,-16,2,2,-2,2,0,D
68,2,1636.01452637,2035.03417969,1,1,-236,-19,2,2,-2,2,0,D
69,2,1636.01452637,2035.03417969,1,1,-243,-27,1,1,-2,1,0,D
70,2,1636.01452637,2035.03417969,1,1,-243,-27,1,1,-2,1,0,D
71,2,1636.01452637,2035.03417969,1,1,-242,-26,1,1,-2,1,0,D
72,2,1636.01452637,2035.03417969,2,1,-242,-26,1,1,-2,2,0,D
73,2,1636.01452637,2035.03417969,2,1,-245,-27,1,1,-2,2,0,D
74,2,1636.01452637,2035.03417969,2,1,-244,-26,1,1,-2,2,0,D
75,2,1636.01452637,2035.03417969,2,1,-261,-29,1,1,-2,2,0,D
76,2,1636.01452637,2035.03417969,2,1,-262,-31,0,1,-2,1,0,D
77,2,1636.01452637,2035.03417969,2,1,-260,-29,0,1,-2,1,0,D
78,2,1636.01452637,2035.03417969,2,1,-265,-29,0,1,-2,1,0,D
79,2,1636.01452637,2035.03417969,2,1,-265,-34,0,1,-2,1,0,D
80,2,1636.01452637,2035.03417969,2,1,-267,-36,-1,0,-3,0,0,D
81,2,1636.01452637,2035.03417969,2,2,-266,-36,-1,0,-3,-1,0,D
82,2,1636.01452637,2035.03417969,2,2,-263,-30,-1,0,-3,-1,0,D
83,2,1636.01452637,2035.03417969,2,2,-270,-33,-1,0,-3,-1,0,D
84,2,1636.01452637,2035.03417969,2,2,-273,-33,-1,0,-3,-1,0,D
85,2,1636.01452637,2035.03417969,2,2,-284,-38,-1,0,-3,-1,0,D
86,2,1636.01452637,2035.03417969,2,2,-282,-39,-1,0,-3,-1,0,D
87,2,1636.01452637,2035.03417969,2,2,-282,-39,-1,0,-3,-1,0,D
88,2,1636.01452637,2035.03417969,2,2,-282,-40,-1,0,-3,-1,0,D
89,2,1636.01452637,2035.03417969,2,2,-282,-40,-1,0,-3,-1,0,D
90,2,1636.01452637,2035.03417969,2,2,-279,-32,-1,0,-3,-1,0,D
91,2,1636.01452637,2035.03417969,2,2,-284,-32,-1,0,-3,-1,0,D
92,2,1636.01452637,2035.03417969,2,2,-287,-36,-1,0,-3,-1,0,D
93,2,1636.01452637,2035.03417969,2,2,-287,-35,-1,0,-3,-1,0,D
94,2,1636.01452637,2035.03417969,2,2,-290,-41,-2,0,-3,-2,0,D
95,2,1636.01452637,2035.03417969,2,2,-295,-48,-2,0,-3,-2,0,D
