ht_goal,ht_elo,at_goal,at_elo,big_chance,shot,pass,final_3rd_pass,key_pass,result
0,1839.06408691,0,1638.01940918,0,0,0,0,0,W
0,1839.06408691,0,1638.01940918,0,0,-3,0,0,W
0,1839.06408691,0,1638.01940918,0,-1,-4,-5,0,W
0,1839.06408691,0,1638.01940918,0,-1,-4,-6,0,W
0,1839.06408691,0,1638.01940918,0,-1,4,-9,0,W
0,1839.06408691,0,1638.01940918,0,-1,9,-10,0,W
0,1839.06408691,0,1638.01940918,0,1,15,-4,1,W
0,1839.06408691,0,1638.01940918,0,1,19,-4,1,W
0,1839.06408691,0,1638.01940918,0,1,25,-4,1,W
0,1839.06408691,0,1638.01940918,0,1,36,-4,1,W
0,1839.06408691,0,1638.01940918,0,1,37,-5,1,W
0,1839.06408691,0,1638.01940918,0,1,29,-9,1,W
0,1839.06408691,0,1638.01940918,0,-1,20,-16,0,W
0,1839.06408691,0,1638.01940918,0,-1,32,-16,0,W
0,1839.06408691,0,1638.01940918,-1,-2,25,-17,-1,W
0,1839.06408691,0,1638.01940918,-1,-2,43,-10,-1,W
0,1839.06408691,0,1638.01940918,-1,-3,49,-8,-2,W
0,1839.06408691,0,1638.01940918,-1,-3,50,-6,-2,W
0,1839.06408691,0,1638.01940918,-1,-3,56,-5,-2,W
0,1839.06408691,0,1638.01940918,-2,-5,54,-10,-3,W
0,1839.06408691,0,1638.01940918,-2,-5,52,-13,-3,W
0,1839.06408691,0,1638.01940918,-2,-4,58,-8,-2,W
0,1839.06408691,0,1638.01940918,-2,-4,54,-8,-2,W
0,1839.06408691,0,1638.01940918,-2,-4,52,-11,-2,W
0,1839.06408691,0,1638.01940918,-2,-4,61,-9,-2,W
0,1839.06408691,0,1638.01940918,-2,-4,61,-9,-2,W
0,1839.06408691,0,1638.01940918,-2,-4,77,-2,-2,W
0,1839.06408691,0,1638.01940918,-2,-4,82,1,-2,W
0,1839.06408691,0,1638.01940918,-2,-4,90,8,-2,W
0,1839.06408691,0,1638.01940918,-2,-4,90,8,-2,W
1,1839.06408691,0,1638.01940918,-1,-3,103,16,-1,W
1,1839.06408691,0,1638.01940918,-1,-3,107,16,-1,W
1,1839.06408691,0,1638.01940918,-1,-3,113,16,-1,W
1,1839.06408691,0,1638.01940918,-1,-3,118,20,-1,W
1,1839.06408691,0,1638.01940918,-1,-3,131,14,0,W
2,1839.06408691,0,1638.01940918,-1,-2,131,14,0,W
2,1839.06408691,0,1638.01940918,-1,-2,126,12,0,W
2,1839.06408691,0,1638.01940918,-1,-2,124,6,0,W
2,1839.06408691,0,1638.01940918,-1,-2,133,6,0,W
2,1839.06408691,0,1638.01940918,-1,-1,140,7,1,W
2,1839.06408691,0,1638.01940918,-1,-1,150,12,1,W
2,1839.06408691,0,1638.01940918,-1,0,154,17,2,W
2,1839.06408691,0,1638.01940918,-1,1,157,20,3,W
2,1839.06408691,0,1638.01940918,-1,1,168,25,3,W
2,1839.06408691,0,1638.01940918,-1,2,179,30,4,W
2,1839.06408691,0,1638.01940918,-1,2,180,35,4,W
2,1839.06408691,0,1638.01940918,-1,2,177,38,4,W
2,1839.06408691,0,1638.01940918,-1,2,177,38,4,W
2,1839.06408691,0,1638.01940918,-1,2,172,36,4,W
2,1839.06408691,0,1638.01940918,-1,2,168,34,4,W
2,1839.06408691,0,1638.01940918,-1,2,175,35,4,W
2,1839.06408691,0,1638.01940918,-1,3,173,36,4,W
2,1839.06408691,0,1638.01940918,-1,5,184,37,4,W
2,1839.06408691,0,1638.01940918,-1,5,191,39,4,W
2,1839.06408691,0,1638.01940918,-1,5,185,32,4,W
2,1839.06408691,0,1638.01940918,-1,5,197,33,4,W
2,1839.06408691,0,1638.01940918,-1,5,192,34,4,W
2,1839.06408691,0,1638.01940918,-1,5,200,34,4,W
2,1839.06408691,0,1638.01940918,-1,5,211,36,4,W
2,1839.06408691,0,1638.01940918,-1,5,210,33,4,W
2,1839.06408691,0,1638.01940918,-1,4,209,31,3,W
2,1839.06408691,0,1638.01940918,-1,4,212,31,3,W
2,1839.06408691,0,1638.01940918,-1,4,212,33,3,W
2,1839.06408691,0,1638.01940918,-1,4,212,33,3,W
2,1839.06408691,0,1638.01940918,-1,4,212,35,3,W
2,1839.06408691,0,1638.01940918,-1,4,212,36,3,W
2,1839.06408691,0,1638.01940918,-1,4,221,41,3,W
2,1839.06408691,0,1638.01940918,-1,4,227,45,3,W
2,1839.06408691,0,1638.01940918,-1,4,235,44,3,W
2,1839.06408691,1,1638.01940918,-1,3,239,48,2,W
2,1839.06408691,1,1638.01940918,-1,3,246,48,2,W
