ht_goal,at_goal,ht_elo,at_elo,shot,big_chance,shot_penalty_box,key_pass,pass,short_pass,shot_open_play,final_3rd_pass,minute,shot_6_yard_box,dispossessed,clearance,long_pass,cross,shot_fast_break,tackle,result
0,0,1693.57299805,1769.1763916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L
0,0,1693.57299805,1769.1763916,0,0,0,0,-14,-13,0,-6,1,0,0,0,-1,-1,0,0,L
0,0,1693.57299805,1769.1763916,0,0,0,0,-13,-12,0,-5,2,0,-1,1,-2,-2,0,0,L
0,0,1693.57299805,1769.1763916,0,0,0,0,-4,-3,0,-8,3,0,-1,1,-2,-3,0,0,L
0,0,1693.57299805,1769.1763916,0,0,0,0,-12,-11,0,-7,4,0,-1,1,-2,-3,0,0,L
0,0,1693.57299805,1769.1763916,0,0,0,0,-31,-26,0,-9,5,0,-1,1,-6,-4,0,0,L
0,0,1693.57299805,1769.1763916,0,0,0,0,-25,-21,0,-7,6,0,-1,1,-5,-4,0,0,L
0,0,1693.57299805,1769.1763916,0,0,0,0,-38,-33,0,-8,7,0,-1,1,-6,-4,0,0,L
0,0,1693.57299805,1769.1763916,0,0,0,-1,-45,-39,0,-15,8,0,0,1,-7,-4,0,0,L
0,0,1693.57299805,1769.1763916,-1,0,0,-1,-50,-44,-1,-16,9,0,-1,1,-6,-4,0,1,L
0,0,1693.57299805,1769.1763916,-1,0,0,-1,-65,-59,-1,-17,10,0,-1,1,-5,-4,0,1,L
0,0,1693.57299805,1769.1763916,-1,0,0,-1,-68,-61,-1,-19,11,0,-1,1,-5,-4,0,2,L
0,0,1693.57299805,1769.1763916,-1,0,0,-1,-67,-60,-1,-17,12,0,-1,1,-5,-4,0,2,L
0,0,1693.57299805,1769.1763916,-1,0,0,-1,-87,-80,-1,-17,13,0,-1,1,-5,-4,0,2,L
0,0,1693.57299805,1769.1763916,-2,0,0,-2,-88,-80,-2,-18,14,0,-1,1,-6,-4,0,2,L
1,0,1693.57299805,1769.1763916,-1,0,1,-1,-86,-78,-1,-16,15,0,-1,1,-6,-4,0,2,L
1,0,1693.57299805,1769.1763916,-1,0,1,-1,-102,-94,-1,-16,16,0,-1,1,-6,-4,0,2,L
1,0,1693.57299805,1769.1763916,-1,0,1,-1,-121,-112,-1,-16,17,0,-1,1,-7,-4,0,2,L
1,0,1693.57299805,1769.1763916,-1,0,1,-1,-125,-115,-1,-17,18,0,-1,1,-8,-4,0,2,L
1,0,1693.57299805,1769.1763916,-1,0,1,-1,-132,-121,-1,-20,19,0,-1,1,-9,-4,0,2,L
