ht_goal,ht_elo,at_goal,at_elo,big_chance,shot,pass,final_3rd_pass,key_pass,result
0,1698.03857422,0,1761.72094727,0,0,0,0,0,L
0,1698.03857422,0,1761.72094727,0,0,-2,-1,0,L
0,1698.03857422,0,1761.72094727,0,0,-10,-6,0,L
0,1698.03857422,0,1761.72094727,0,0,-14,-10,0,L
0,1698.03857422,0,1761.72094727,0,0,-13,-11,0,L
0,1698.03857422,0,1761.72094727,0,0,-15,-12,0,L
0,1698.03857422,0,1761.72094727,0,0,-5,-9,0,L
0,1698.03857422,0,1761.72094727,0,0,-5,-8,0,L
0,1698.03857422,0,1761.72094727,0,0,-5,-11,0,L
0,1698.03857422,0,1761.72094727,0,0,8,-8,0,L
0,1698.03857422,0,1761.72094727,0,0,10,-7,0,L
0,1698.03857422,0,1761.72094727,0,0,13,-4,0,L
0,1698.03857422,0,1761.72094727,0,-1,5,-9,-1,L
0,1698.03857422,0,1761.72094727,0,-1,2,-11,-1,L
0,1698.03857422,0,1761.72094727,0,-1,4,-10,-1,L
1,1698.03857422,0,1761.72094727,0,0,4,-9,-1,L
1,1698.03857422,0,1761.72094727,0,0,-1,-9,-1,L
1,1698.03857422,0,1761.72094727,0,0,1,-7,-1,L
1,1698.03857422,0,1761.72094727,0,0,-1,-8,-1,L
1,1698.03857422,0,1761.72094727,0,0,4,-6,-1,L
1,1698.03857422,0,1761.72094727,0,0,10,-3,-1,L
1,1698.03857422,0,1761.72094727,0,0,13,-4,-1,L
1,1698.03857422,0,1761.72094727,0,0,22,-10,-1,L
1,1698.03857422,0,1761.72094727,0,-1,20,-13,-1,L
1,1698.03857422,0,1761.72094727,0,0,21,-11,0,L
1,1698.03857422,0,1761.72094727,0,0,20,-13,0,L
1,1698.03857422,0,1761.72094727,0,0,12,-14,0,L
1,1698.03857422,0,1761.72094727,0,-1,12,-15,-1,L
1,1698.03857422,0,1761.72094727,0,-1,13,-13,-1,L
1,1698.03857422,0,1761.72094727,0,-1,9,-15,-1,L
1,1698.03857422,0,1761.72094727,0,-1,9,-15,-1,L
1,1698.03857422,0,1761.72094727,0,0,13,-12,0,L
1,1698.03857422,0,1761.72094727,0,0,16,-11,0,L
1,1698.03857422,0,1761.72094727,-1,-1,12,-14,-1,L
1,1698.03857422,0,1761.72094727,-1,-1,12,-15,-1,L
1,1698.03857422,0,1761.72094727,-1,-1,12,-15,-1,L
2,1698.03857422,0,1761.72094727,-1,0,20,-11,0,L
2,1698.03857422,0,1761.72094727,-1,0,13,-14,0,L
2,1698.03857422,0,1761.72094727,-1,0,18,-14,0,L
2,1698.03857422,0,1761.72094727,-1,0,14,-15,0,L
2,1698.03857422,0,1761.72094727,-1,0,16,-14,0,L
2,1698.03857422,0,1761.72094727,-1,0,6,-15,0,L
2,1698.03857422,0,1761.72094727,-1,0,16,-14,0,L
2,1698.03857422,0,1761.72094727,-1,1,21,-11,1,L
2,1698.03857422,0,1761.72094727,-1,1,17,-11,1,L
2,1698.03857422,0,1761.72094727,-1,1,13,-13,1,L
2,1698.03857422,0,1761.72094727,-1,1,16,-8,1,L
2,1698.03857422,0,1761.72094727,-1,1,16,-7,1,L
2,1698.03857422,0,1761.72094727,-1,1,22,-3,1,L
2,1698.03857422,0,1761.72094727,-1,1,16,-2,1,L
2,1698.03857422,0,1761.72094727,-1,1,10,-3,1,L
2,1698.03857422,0,1761.72094727,-1,1,6,-4,1,L
2,1698.03857422,0,1761.72094727,-1,2,6,-4,2,L
2,1698.03857422,0,1761.72094727,-1,2,2,-4,2,L
2,1698.03857422,0,1761.72094727,-1,3,2,-2,3,L
2,1698.03857422,1,1761.72094727,-2,2,-2,-3,2,L
2,1698.03857422,1,1761.72094727,-2,2,-1,-3,2,L
2,1698.03857422,1,1761.72094727,-2,2,-5,0,2,L
2,1698.03857422,1,1761.72094727,-2,2,-3,0,2,L
2,1698.03857422,1,1761.72094727,-2,2,-6,0,2,L
2,1698.03857422,1,1761.72094727,-2,2,-6,0,2,L
2,1698.03857422,1,1761.72094727,-2,2,-10,-6,2,L
2,1698.03857422,1,1761.72094727,-2,2,-6,-3,2,L
2,1698.03857422,1,1761.72094727,-2,2,-5,-3,2,L
2,1698.03857422,1,1761.72094727,-2,2,-5,-3,2,L
2,1698.03857422,1,1761.72094727,-2,2,-5,-3,2,L
2,1698.03857422,1,1761.72094727,-2,2,-7,-3,2,L
2,1698.03857422,2,1761.72094727,-2,1,-6,-2,2,L
2,1698.03857422,2,1761.72094727,-2,1,-6,-2,2,L
2,1698.03857422,2,1761.72094727,-2,2,-10,-1,3,L
2,1698.03857422,2,1761.72094727,-2,1,-17,-2,3,L
2,1698.03857422,2,1761.72094727,-2,1,-21,-1,3,L
2,1698.03857422,2,1761.72094727,-2,1,-16,2,3,L
2,1698.03857422,2,1761.72094727,-2,1,-18,2,3,L
2,1698.03857422,2,1761.72094727,-2,1,-9,4,3,L
2,1698.03857422,2,1761.72094727,-2,2,-16,6,3,L
2,1698.03857422,2,1761.72094727,-2,2,-14,8,3,L
2,1698.03857422,2,1761.72094727,-2,2,-7,10,3,L
2,1698.03857422,2,1761.72094727,-2,2,-7,10,3,L
2,1698.03857422,3,1761.72094727,-3,1,-6,11,2,L
2,1698.03857422,3,1761.72094727,-3,1,-3,13,2,L
2,1698.03857422,3,1761.72094727,-3,1,-3,13,2,L
2,1698.03857422,3,1761.72094727,-3,1,-3,13,2,L
2,1698.03857422,3,1761.72094727,-3,1,1,12,2,L
2,1698.03857422,3,1761.72094727,-3,1,2,13,2,L
2,1698.03857422,3,1761.72094727,-3,1,4,14,2,L
2,1698.03857422,3,1761.72094727,-3,1,8,21,2,L
2,1698.03857422,3,1761.72094727,-3,1,16,28,2,L
2,1698.03857422,3,1761.72094727,-3,1,16,28,2,L
2,1698.03857422,3,1761.72094727,-3,1,19,28,2,L
2,1698.03857422,3,1761.72094727,-3,1,21,28,2,L
