minute,half,ht_elo,at_elo,ht_goal,at_goal,pass,short_pass,long_pass,final_3rd_pass,key_pass,cross,corner,big_chance,shot,shot_6_yard_box,shot_penalty_box,shot_open_play,shot_fast_break,dispossessed,turnover,duel,tackle,interception,clearance,offside,yellow,red,result
0,1,1844.18054199,1939.65209961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L
1,1,1844.18054199,1939.65209961,0,0,3,3,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,L
2,1,1844.18054199,1939.65209961,0,0,0,0,-1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,L
3,1,1844.18054199,1939.65209961,0,0,-6,-6,-2,4,0,1,0,0,0,0,0,0,0,-1,1,0,1,0,0,0,0,0,L
4,1,1844.18054199,1939.65209961,0,0,-8,-8,-2,6,1,1,0,1,1,0,1,1,0,-1,1,0,2,1,0,0,0,0,L
5,1,1844.18054199,1939.65209961,0,0,-5,-5,-1,8,1,1,0,1,2,0,2,2,0,-1,1,0,2,1,-2,0,0,0,L
6,1,1844.18054199,1939.65209961,0,0,5,5,-1,15,1,1,0,1,2,0,2,2,0,-1,1,1,2,1,-3,0,0,0,L
7,1,1844.18054199,1939.65209961,0,0,2,1,0,13,0,1,0,1,1,0,2,1,0,0,1,1,1,0,-1,0,0,0,L
8,1,1844.18054199,1939.65209961,0,0,3,0,1,14,0,1,0,1,1,0,2,1,0,0,1,1,1,0,-1,0,0,0,L
9,1,1844.18054199,1939.65209961,0,0,4,1,0,18,0,1,0,1,1,0,2,1,0,0,1,2,1,0,0,1,0,0,L
11,1,1844.18054199,1939.65209961,0,1,-4,-6,-1,17,-1,1,0,0,0,0,1,0,0,0,1,2,1,0,0,1,0,0,L
12,1,1844.18054199,1939.65209961,0,1,-1,-3,-1,17,-1,1,0,0,0,0,1,0,0,0,1,2,1,0,0,2,0,0,L
13,1,1844.18054199,1939.65209961,0,1,-12,-12,-4,18,-1,1,0,0,0,0,1,0,0,0,1,3,1,1,0,2,0,0,L
14,1,1844.18054199,1939.65209961,0,1,-13,-13,-5,18,-1,1,0,0,0,0,1,0,0,0,1,3,1,1,0,2,0,0,L
15,1,1844.18054199,1939.65209961,0,1,-16,-15,-6,15,-1,0,0,0,0,0,1,0,0,0,1,3,2,1,2,2,0,0,L
16,1,1844.18054199,1939.65209961,0,1,-14,-14,-5,13,-1,-2,-1,0,0,0,1,0,0,0,1,3,2,1,4,2,0,0,L
18,1,1844.18054199,1939.65209961,0,2,-24,-24,-5,9,-2,-2,-1,-1,-1,0,0,-1,0,0,1,3,2,1,4,2,0,0,L
19,1,1844.18054199,1939.65209961,0,2,-26,-26,-6,8,-2,-2,-1,-1,-1,0,0,-1,0,0,1,3,2,1,4,2,0,0,L
20,1,1844.18054199,1939.65209961,0,2,-28,-27,-6,12,-2,-2,-1,-1,-1,0,0,-1,0,0,0,1,2,1,4,2,-1,0,L
21,1,1844.18054199,1939.65209961,0,2,-28,-27,-6,13,-2,-1,-1,-1,-1,0,0,-1,0,0,0,1,2,1,4,2,-1,0,L
24,1,1844.18054199,1939.65209961,0,2,-28,-27,-7,12,-2,-1,-1,-1,-1,0,0,-1,0,0,1,1,2,1,4,2,-1,1,L
25,1,1844.18054199,1939.65209961,0,2,-27,-26,-7,11,-3,-2,-1,-2,-2,0,-1,-1,0,0,1,1,2,1,4,2,-1,1,L
26,1,1844.18054199,1939.65209961,0,2,-21,-21,-6,15,-3,-2,-1,-2,-2,0,-1,-1,0,0,1,1,1,1,4,2,-1,1,L
27,1,1844.18054199,1939.65209961,0,2,-36,-33,-9,15,-3,-2,-1,-2,-2,0,-1,-1,0,0,2,1,1,1,4,2,-1,1,L
28,1,1844.18054199,1939.65209961,0,2,-54,-50,-11,14,-3,-2,-1,-2,-2,0,-1,-1,0,0,2,1,1,1,4,2,-1,1,L
29,1,1844.18054199,1939.65209961,0,2,-64,-59,-11,14,-3,-2,-1,-2,-2,0,-1,-1,0,0,2,1,1,1,4,2,-1,1,L
30,1,1844.18054199,1939.65209961,0,2,-68,-63,-12,16,-3,-2,-1,-2,-2,0,-1,-1,0,1,1,2,1,1,4,2,-1,1,L
31,1,1844.18054199,1939.65209961,0,2,-62,-57,-12,18,-2,-2,-1,-2,-1,0,0,0,0,1,1,2,1,1,4,2,-1,1,L
32,1,1844.18054199,1939.65209961,0,2,-63,-58,-12,20,-1,-1,0,-2,1,1,1,0,0,1,1,2,1,1,3,2,-1,1,L
33,1,1844.18054199,1939.65209961,0,2,-71,-66,-12,23,0,1,1,-2,2,1,2,0,0,1,1,2,1,1,3,2,-1,1,L
