minute,half,ht_elo,at_elo,ht_goal,at_goal,pass,short_pass,long_pass,final_3rd_pass,key_pass,cross,corner,big_chance,shot,shot_6_yard_box,shot_penalty_box,shot_open_play,shot_fast_break,dispossessed,turnover,duel,tackle,interception,clearance,offside,yellow,red,result
0,1,2009.3848877,1756.40222168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D
2,1,2009.3848877,1756.40222168,0,0,-6,-6,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,1,1,0,0,0,D
3,1,2009.3848877,1756.40222168,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,2,-1,-1,-2,1,1,0,0,0,D
4,1,2009.3848877,1756.40222168,0,0,-7,-7,1,-1,0,0,0,0,0,0,0,0,0,2,-2,-1,-2,1,1,0,0,0,D
5,1,2009.3848877,1756.40222168,0,0,6,5,2,6,0,0,0,0,0,0,0,0,0,2,-2,-1,-2,1,1,0,0,0,D
6,1,2009.3848877,1756.40222168,0,0,10,9,2,10,0,0,0,0,0,0,0,0,0,2,-1,-1,-2,1,0,0,0,0,D
7,1,2009.3848877,1756.40222168,0,0,9,8,2,12,0,1,1,0,0,0,0,0,0,3,-1,-1,-3,1,-2,0,0,0,D
8,1,2009.3848877,1756.40222168,0,0,-4,-3,-1,12,0,1,1,0,0,0,0,0,0,3,-1,-1,-3,1,-2,0,0,0,D
9,1,2009.3848877,1756.40222168,0,0,6,8,-1,17,0,1,1,0,0,0,0,0,0,3,-1,0,-3,1,-4,0,0,0,D
10,1,2009.3848877,1756.40222168,0,0,-7,-3,-2,18,0,1,1,0,0,0,0,0,0,3,-1,0,-3,1,-4,0,0,0,D
11,1,2009.3848877,1756.40222168,0,0,-14,-9,-3,16,0,1,1,0,0,0,0,0,0,3,-1,0,-3,1,-4,0,0,0,D
12,1,2009.3848877,1756.40222168,0,0,-14,-9,-4,15,0,1,1,0,0,0,0,0,0,3,-1,0,-3,1,-3,0,0,0,D
13,1,2009.3848877,1756.40222168,0,0,-5,0,-4,18,1,1,1,0,2,0,2,2,0,3,-1,0,-3,1,-4,0,0,0,D
14,1,2009.3848877,1756.40222168,0,0,5,9,-4,23,2,1,1,1,3,0,3,3,0,3,-1,1,-3,1,-4,0,0,0,D
15,1,2009.3848877,1756.40222168,0,0,9,14,-4,24,2,1,1,1,3,0,3,3,0,4,-1,1,-4,0,-4,0,0,0,D
16,1,2009.3848877,1756.40222168,0,0,14,18,-3,27,3,2,2,2,4,0,4,4,0,4,-1,1,-4,0,-4,0,0,0,D
17,1,2009.3848877,1756.40222168,0,0,11,15,-3,27,3,2,2,2,4,0,4,4,0,4,-2,1,-4,0,-4,0,0,0,D
18,1,2009.3848877,1756.40222168,0,0,-1,3,-4,25,3,2,2,2,4,0,4,4,0,5,-2,0,-4,0,-3,0,0,0,D
19,1,2009.3848877,1756.40222168,0,0,-4,1,-7,23,3,2,2,2,4,0,4,4,0,5,-2,0,-4,-1,-3,0,0,0,D
21,1,2009.3848877,1756.40222168,0,0,-4,2,-8,21,2,1,2,2,2,0,2,2,0,5,-3,0,-4,-1,-3,0,0,0,D
22,1,2009.3848877,1756.40222168,0,0,-5,1,-8,17,2,0,1,2,2,0,2,2,0,5,-2,1,-4,-1,-2,-1,0,0,D
23,1,2009.3848877,1756.40222168,0,0,0,6,-7,18,2,0,1,2,2,0,2,2,0,5,-2,1,-4,-1,-2,-1,-1,0,D
24,1,2009.3848877,1756.40222168,0,0,-1,5,-7,15,2,-1,1,2,2,0,2,2,0,5,-2,1,-4,0,-1,-1,-1,0,D
25,1,2009.3848877,1756.40222168,0,0,4,10,-7,18,1,-3,0,2,1,-1,2,2,0,6,-2,2,-4,0,0,-1,-1,0,D
26,1,2009.3848877,1756.40222168,0,0,2,9,-8,20,1,-3,0,2,1,-1,2,2,0,6,-2,2,-4,0,0,-1,-1,0,D
27,1,2009.3848877,1756.40222168,0,0,8,15,-9,20,1,-3,0,2,1,-1,2,2,0,6,-2,2,-4,1,0,-1,-1,0,D
28,1,2009.3848877,1756.40222168,0,0,14,20,-8,24,1,-3,0,2,1,-1,2,2,0,6,-2,1,-4,1,0,-1,-1,0,D
29,1,2009.3848877,1756.40222168,0,0,31,37,-8,25,2,-3,0,2,2,-1,2,3,0,6,-2,1,-4,1,0,-1,-1,0,D
30,1,2009.3848877,1756.40222168,0,0,24,30,-8,24,2,-3,0,2,2,-1,2,3,0,6,-2,1,-4,1,0,-1,-1,0,D
31,1,2009.3848877,1756.40222168,0,0,24,30,-8,20,2,-3,0,2,2,-1,2,3,0,6,-2,1,-4,1,0,-1,-1,0,D
32,1,2009.3848877,1756.40222168,0,0,36,42,-7,24,2,-3,0,2,2,-1,2,3,0,7,-2,1,-4,1,-1,-1,-1,0,D
