minute,half,ht_elo,at_elo,ht_goal,at_goal,pass,short_pass,long_pass,final_3rd_pass,key_pass,cross,corner,big_chance,shot,shot_6_yard_box,shot_penalty_box,shot_open_play,shot_fast_break,dispossessed,turnover,duel,tackle,interception,clearance,offside,yellow,red,result
0,1,2035.76184082,1652.9095459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W
1,1,2035.76184082,1652.9095459,0,0,7,7,0,1,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,W
2,1,2035.76184082,1652.9095459,0,0,11,10,0,3,1,2,0,0,1,0,1,1,0,0,0,-1,0,0,-2,0,0,0,W
3,1,2035.76184082,1652.9095459,0,0,21,19,0,15,1,4,1,0,1,0,1,1,0,0,0,-1,0,0,-4,0,0,0,W
4,1,2035.76184082,1652.9095459,0,0,15,14,-1,8,1,4,1,0,1,0,1,1,0,0,0,-1,0,0,-4,0,0,0,W
5,1,2035.76184082,1652.9095459,0,0,20,19,-1,17,1,5,1,0,2,0,1,2,0,0,0,-1,0,0,-6,0,0,0,W
6,1,2035.76184082,1652.9095459,0,0,31,30,-4,19,1,5,1,0,2,0,1,2,0,1,1,0,0,0,-6,0,0,0,W
7,1,2035.76184082,1652.9095459,0,0,20,19,-5,19,1,5,1,0,2,0,1,2,0,1,2,0,0,0,-6,0,0,0,W
8,1,2035.76184082,1652.9095459,0,0,16,15,-5,16,1,4,1,0,2,0,1,2,0,1,1,0,0,0,-5,0,0,0,W
9,1,2035.76184082,1652.9095459,0,0,20,19,-7,20,1,4,1,0,2,0,1,2,0,1,1,0,0,0,-5,0,0,0,W
10,1,2035.76184082,1652.9095459,0,0,28,26,-7,21,1,4,1,0,2,0,1,2,0,1,1,0,0,0,-6,0,0,0,W
11,1,2035.76184082,1652.9095459,0,0,33,31,-7,29,1,6,1,0,3,0,2,3,0,1,1,-2,0,0,-9,0,0,0,W
12,1,2035.76184082,1652.9095459,0,0,31,29,-8,30,1,6,1,0,3,0,2,3,0,1,1,-1,0,0,-9,1,0,0,W
13,1,2035.76184082,1652.9095459,0,1,30,28,-7,25,0,6,1,0,1,-1,2,1,0,1,1,-1,0,0,-9,1,0,0,W
14,1,2035.76184082,1652.9095459,0,1,37,35,-7,28,0,7,1,0,1,-1,2,1,0,1,1,-1,0,0,-9,1,0,0,W
15,1,2035.76184082,1652.9095459,0,1,38,36,-8,29,0,7,1,0,1,-1,2,1,0,1,1,-1,0,0,-9,1,0,0,W
16,1,2035.76184082,1652.9095459,0,1,41,39,-9,29,0,7,1,0,1,-1,2,1,0,1,1,0,0,0,-9,1,0,0,W
17,1,2035.76184082,1652.9095459,0,1,48,44,-7,33,0,7,1,0,1,-1,2,1,0,1,1,0,0,0,-8,1,0,0,W
18,1,2035.76184082,1652.9095459,0,1,51,46,-6,37,0,8,1,0,1,-1,2,1,0,2,1,0,-1,0,-9,1,-1,0,W
19,1,2035.76184082,1652.9095459,0,1,52,47,-6,38,0,8,1,0,2,-1,2,1,0,2,1,0,-1,0,-9,1,-1,0,W
20,1,2035.76184082,1652.9095459,0,1,53,48,-7,40,0,9,1,0,2,-1,2,1,0,2,1,0,-1,0,-10,1,-1,0,W
21,1,2035.76184082,1652.9095459,0,1,56,51,-7,41,0,9,1,0,2,-1,2,1,0,2,1,0,-1,0,-10,2,-1,0,W
22,1,2035.76184082,1652.9095459,0,1,65,60,-8,48,0,10,1,0,3,-1,2,2,0,2,1,1,-1,0,-10,2,-1,0,W
23,1,2035.76184082,1652.9095459,0,1,78,71,-6,58,0,12,1,0,3,-1,2,2,0,2,1,1,-1,0,-12,2,-1,0,W
