minute,half,ht_elo,at_elo,ht_goal,at_goal,pass,short_pass,long_pass,final_3rd_pass,key_pass,cross,corner,big_chance,shot,shot_6_yard_box,shot_penalty_box,shot_open_play,shot_fast_break,dispossessed,turnover,duel,tackle,interception,clearance,offside,yellow,red,result
0,1,1846.38842773,1751.38024902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W
1,1,1846.38842773,1751.38024902,0,0,3,3,-1,-3,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,W
2,1,1846.38842773,1751.38024902,0,0,11,11,-2,-3,-1,0,0,0,-1,0,0,-1,0,0,1,2,0,1,0,0,0,0,W
3,1,1846.38842773,1751.38024902,0,0,11,11,-2,-5,-1,-1,0,0,-1,0,0,-1,0,0,1,1,0,1,1,0,0,0,W
4,1,1846.38842773,1751.38024902,0,0,14,14,-2,-6,-1,-2,-1,0,-1,0,0,-1,0,0,1,0,0,1,2,0,0,0,W
5,1,1846.38842773,1751.38024902,0,0,18,18,-2,-10,-1,-3,-2,0,-1,0,0,-1,0,1,2,0,-1,1,2,0,0,0,W
6,1,1846.38842773,1751.38024902,0,0,28,26,0,-1,-1,-2,-2,0,-1,0,0,-1,0,1,1,0,-1,1,2,0,0,0,W
7,1,1846.38842773,1751.38024902,0,0,26,25,-1,-1,-1,-2,-2,0,-1,0,0,-1,0,1,1,-1,-1,1,3,0,0,0,W
8,1,1846.38842773,1751.38024902,0,0,34,32,-1,8,-1,-1,-2,0,-1,0,0,-1,0,2,1,-1,-1,1,1,0,0,0,W
9,1,1846.38842773,1751.38024902,0,0,34,32,-1,8,-1,-1,-2,0,-1,0,0,-1,0,2,1,-1,-1,0,1,0,1,0,W
10,1,1846.38842773,1751.38024902,0,0,56,54,-1,9,-1,-1,-2,0,-1,0,0,-1,0,2,1,-1,-1,0,1,0,1,0,W
11,1,1846.38842773,1751.38024902,0,0,60,59,0,12,-1,0,-2,0,0,0,0,0,0,2,0,-1,-1,-1,0,0,1,0,W
12,1,1846.38842773,1751.38024902,0,0,67,65,0,17,-1,1,-1,0,0,0,0,0,0,2,-1,-2,-1,-1,-1,0,1,0,W
13,1,1846.38842773,1751.38024902,0,0,66,65,-2,18,-1,1,-1,0,0,0,0,0,0,2,-1,-1,-1,-1,-1,0,1,0,W
14,1,1846.38842773,1751.38024902,0,0,46,46,-3,6,-1,0,-1,0,0,0,0,0,0,2,-1,-1,-1,-1,0,0,1,0,W
15,1,1846.38842773,1751.38024902,0,0,31,32,-4,6,-1,0,-1,0,0,0,0,0,0,2,-1,-1,-1,-1,0,0,1,0,W
16,1,1846.38842773,1751.38024902,0,0,30,31,-4,8,-1,1,-1,0,0,0,0,0,0,2,0,-1,-1,-2,0,0,1,0,W
17,1,1846.38842773,1751.38024902,0,0,28,29,-6,9,-1,1,-1,0,0,0,0,0,0,2,0,-1,-1,-2,0,0,1,0,W
18,1,1846.38842773,1751.38024902,0,0,37,37,-5,11,0,1,-1,0,1,0,0,1,0,2,1,-1,-1,-2,0,0,1,0,W
19,1,1846.38842773,1751.38024902,0,0,36,37,-6,8,0,0,-1,0,1,0,0,1,0,2,1,-2,-1,-3,0,0,1,0,W
