minute,half,ht_elo,at_elo,ht_goal,at_goal,pass,short_pass,long_pass,final_3rd_pass,key_pass,cross,corner,big_chance,shot,shot_6_yard_box,shot_penalty_box,shot_open_play,shot_fast_break,dispossessed,turnover,duel,tackle,interception,clearance,offside,yellow,red,result
0,1,1825.68859863,1797.25476074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W
1,1,1825.68859863,1797.25476074,0,0,-15,-14,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,W
2,1,1825.68859863,1797.25476074,0,0,-12,-11,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,W
3,1,1825.68859863,1797.25476074,0,0,-8,-7,0,2,2,0,0,0,2,0,1,2,0,0,-1,0,0,0,0,0,0,0,W
4,1,1825.68859863,1797.25476074,0,0,-9,-7,-1,3,3,1,1,0,3,1,1,2,0,0,-1,0,0,0,0,0,0,0,W
5,1,1825.68859863,1797.25476074,0,0,0,2,-1,8,3,2,2,0,3,1,1,2,0,0,-2,0,0,0,0,1,0,0,W
8,1,1825.68859863,1797.25476074,0,0,-1,1,-2,10,3,2,2,0,3,1,1,2,0,0,-2,0,0,0,0,1,0,0,W
9,1,1825.68859863,1797.25476074,0,0,-1,1,-2,10,3,2,2,0,5,1,3,2,0,0,-2,0,0,0,0,1,0,0,W
10,1,1825.68859863,1797.25476074,0,0,1,3,-2,9,3,2,2,0,5,1,3,2,0,0,-2,0,0,0,0,1,0,0,W
11,1,1825.68859863,1797.25476074,0,0,1,2,-1,11,3,3,2,0,5,1,3,2,0,0,-2,0,1,0,0,1,0,0,W
12,1,1825.68859863,1797.25476074,0,0,4,5,-1,10,2,3,2,-1,4,0,3,1,0,0,-2,0,1,-1,0,1,0,0,W
13,1,1825.68859863,1797.25476074,0,0,11,11,0,11,3,3,2,-1,5,0,4,2,0,0,-2,0,2,0,0,1,0,0,W
14,1,1825.68859863,1797.25476074,0,0,15,15,1,12,3,3,2,-1,5,0,4,2,0,0,-2,0,2,0,0,1,1,0,W
15,1,1825.68859863,1797.25476074,0,0,8,9,0,13,4,3,2,-1,6,0,4,3,0,0,-3,0,2,0,0,1,1,0,W
16,1,1825.68859863,1797.25476074,0,0,-10,-9,0,8,4,3,2,-1,6,0,4,3,0,0,-3,0,2,0,0,1,1,0,W
17,1,1825.68859863,1797.25476074,0,0,-1,0,0,8,4,3,2,-1,6,0,4,3,0,0,-3,0,2,0,0,1,1,0,W
18,1,1825.68859863,1797.25476074,0,0,0,2,-1,11,5,4,2,-1,7,2,4,4,0,0,-3,0,2,-1,-1,1,1,0,W
19,1,1825.68859863,1797.25476074,1,0,3,5,-1,17,6,5,3,-1,9,2,6,6,0,0,-4,0,2,-2,-2,1,1,0,W
20,1,1825.68859863,1797.25476074,1,0,2,4,-1,17,6,5,3,-1,9,2,6,6,0,0,-4,0,2,-2,-2,1,1,0,W
21,1,1825.68859863,1797.25476074,1,0,0,3,-2,15,6,5,3,-1,9,2,6,6,0,0,-4,0,2,-2,-1,1,1,0,W
22,1,1825.68859863,1797.25476074,1,0,3,5,-2,16,6,5,3,-1,9,2,6,6,0,0,-3,0,2,-2,-1,1,2,0,W
23,1,1825.68859863,1797.25476074,1,0,14,15,-2,16,6,5,3,-1,9,2,6,6,0,0,-2,0,2,-2,-1,1,2,0,W
24,1,1825.68859863,1797.25476074,1,0,15,16,-2,17,6,6,3,-1,9,2,6,6,0,0,-2,0,2,-2,-1,1,2,0,W
25,1,1825.68859863,1797.25476074,1,0,8,10,-3,15,6,6,3,-1,9,2,6,6,0,0,-2,0,2,-2,-1,1,2,0,W
26,1,1825.68859863,1797.25476074,1,0,7,9,-3,15,6,6,3,-1,9,2,6,6,0,0,-2,0,2,-3,-1,1,2,0,W
27,1,1825.68859863,1797.25476074,1,0,11,13,-3,13,6,6,3,-1,9,2,6,6,0,0,-2,0,2,-3,-1,1,2,0,W
28,1,1825.68859863,1797.25476074,1,0,14,16,-3,16,7,6,3,-1,10,2,7,7,0,0,-2,0,2,-3,-1,1,2,0,W
30,1,1825.68859863,1797.25476074,1,0,11,13,-4,17,7,6,3,-1,10,2,7,7,0,0,-2,1,2,-3,-1,2,2,0,W
31,1,1825.68859863,1797.25476074,1,0,2,4,-5,20,8,6,3,-1,11,2,7,8,0,0,-2,1,2,-4,-1,2,2,0,W
32,1,1825.68859863,1797.25476074,1,0,12,14,-5,26,9,8,3,0,13,3,8,10,0,0,-2,1,2,-4,-1,2,2,0,W
33,1,1825.68859863,1797.25476074,1,0,26,27,-4,28,8,8,3,-1,12,3,7,9,0,0,-2,1,2,-4,-1,2,2,0,W
34,1,1825.68859863,1797.25476074,1,0,43,44,-4,29,8,8,3,-1,12,3,7,9,0,0,-2,1,2,-4,-1,2,2,0,W
35,1,1825.68859863,1797.25476074,1,0,28,30,-5,30,8,8,3,-1,12,3,7,9,0,0,-2,1,2,-4,-1,2,2,0,W
36,1,1825.68859863,1797.25476074,1,0,20,22,-4,30,7,8,3,-1,11,3,6,8,0,0,-3,1,2,-4,-1,2,2,0,W
37,1,1825.68859863,1797.25476074,1,0,22,23,-3,31,8,8,3,-1,12,3,6,9,0,1,-4,2,2,-4,-1,2,2,0,W
39,1,1825.68859863,1797.25476074,1,0,29,30,-3,36,8,8,3,-1,12,3,6,9,0,1,-4,2,2,-4,-1,2,2,0,W
40,1,1825.68859863,1797.25476074,1,0,29,30,-2,36,8,8,3,-1,12,3,6,9,0,1,-4,1,2,-5,-1,2,2,0,W
41,1,1825.68859863,1797.25476074,1,0,19,20,-2,39,8,8,3,-1,12,3,6,9,0,0,-3,1,3,-4,-1,2,2,0,W
42,1,1825.68859863,1797.25476074,1,0,19,20,-2,39,8,8,3,-1,13,3,6,9,0,0,-3,1,3,-4,-1,2,2,0,W
43,1,1825.68859863,1797.25476074,1,0,16,17,-2,41,9,8,4,-1,14,3,6,9,0,-1,-3,1,4,-4,-1,2,2,0,W
44,1,1825.68859863,1797.25476074,1,0,-1,0,-2,35,9,8,4,-1,14,3,6,9,0,-1,-2,1,3,-4,-1,2,2,0,W
45,1,1825.68859863,1797.25476074,1,1,-2,-1,-2,34,8,8,4,-1,13,3,5,8,0,-1,-2,1,3,-4,-1,2,2,0,W
