minute,half,ht_elo,at_elo,ht_goal,at_goal,pass,short_pass,long_pass,final_3rd_pass,key_pass,cross,corner,big_chance,shot,shot_6_yard_box,shot_penalty_box,shot_open_play,shot_fast_break,dispossessed,turnover,duel,tackle,interception,clearance,offside,yellow,red,result
0,1,1707.51635742,1659.10217285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W
1,1,1707.51635742,1659.10217285,0,0,10,8,3,8,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,-2,0,0,0,W
2,1,1707.51635742,1659.10217285,0,0,16,13,3,12,0,1,0,0,1,0,1,1,0,0,0,0,0,1,-2,0,0,0,W
3,1,1707.51635742,1659.10217285,0,0,17,15,3,16,0,1,0,0,1,0,1,1,0,0,0,0,0,1,-3,0,0,0,W
4,1,1707.51635742,1659.10217285,0,0,12,10,2,13,0,1,0,0,1,0,1,1,0,0,0,-2,0,1,-3,0,0,0,W
5,1,1707.51635742,1659.10217285,0,0,9,7,3,8,0,0,-1,0,1,0,1,1,0,0,0,-2,0,-1,-3,0,0,0,W
6,1,1707.51635742,1659.10217285,0,0,1,0,3,3,0,0,-1,0,1,0,1,1,0,0,-3,-2,0,-1,-3,0,0,0,W
7,1,1707.51635742,1659.10217285,0,0,0,-1,3,-1,-1,-1,-1,0,0,0,0,0,0,0,-3,-2,0,-2,-3,0,0,0,W
8,1,1707.51635742,1659.10217285,0,0,-11,-12,4,-8,-1,-3,-1,0,0,0,0,0,0,0,-3,-3,0,-2,-2,0,0,0,W
9,1,1707.51635742,1659.10217285,0,0,-11,-12,4,-6,-1,-3,-1,0,0,0,0,0,0,0,-2,-3,0,-1,-2,0,0,0,W
10,1,1707.51635742,1659.10217285,0,0,-19,-19,2,-7,-1,-3,-1,0,0,0,0,0,0,0,-2,-2,0,-1,-2,0,0,0,W
11,1,1707.51635742,1659.10217285,0,0,-18,-19,2,-6,-1,-4,-1,0,-1,0,-1,0,0,0,-2,-1,0,-1,-1,0,0,0,W
12,1,1707.51635742,1659.10217285,0,0,-15,-18,3,-3,-1,-4,-1,0,-1,0,-1,0,0,0,-2,2,0,-1,-1,0,0,0,W
13,1,1707.51635742,1659.10217285,0,1,-28,-30,2,-13,-2,-5,-1,0,-3,0,-3,-2,0,0,-2,2,0,-1,0,0,0,0,W
14,1,1707.51635742,1659.10217285,0,1,-26,-28,2,-13,-2,-5,-1,0,-3,0,-3,-2,0,0,-1,2,0,-1,0,0,0,0,W
15,1,1707.51635742,1659.10217285,0,1,-26,-27,1,-12,-2,-4,-1,0,-4,0,-4,-3,0,0,0,1,0,-1,0,0,0,0,W
16,1,1707.51635742,1659.10217285,0,1,-25,-26,1,-15,-2,-4,-1,0,-3,1,-4,-2,0,0,0,1,0,-1,0,0,0,0,W
17,1,1707.51635742,1659.10217285,0,1,-25,-26,1,-14,-2,-3,-1,0,-3,1,-4,-2,0,0,0,1,0,-1,0,0,0,0,W
18,1,1707.51635742,1659.10217285,0,1,-25,-26,0,-14,-2,-3,-1,0,-3,1,-4,-2,0,0,0,2,0,-1,0,0,0,0,W
19,1,1707.51635742,1659.10217285,0,1,-22,-24,2,-14,-2,-3,-1,0,-3,1,-4,-2,0,0,-1,2,0,-1,0,0,0,0,W
20,1,1707.51635742,1659.10217285,0,1,-16,-19,3,-5,-2,-2,-1,0,-3,1,-4,-2,0,-1,-2,3,1,0,-1,0,0,0,W
21,1,1707.51635742,1659.10217285,0,1,-12,-14,3,-5,-2,-2,-1,0,-3,1,-4,-2,0,-1,-2,3,1,-1,-1,0,0,0,W
