minute,half,ht_elo,at_elo,ht_goal,at_goal,pass,short_pass,long_pass,final_3rd_pass,key_pass,cross,corner,big_chance,shot,shot_6_yard_box,shot_penalty_box,shot_open_play,shot_fast_break,dispossessed,turnover,duel,tackle,interception,clearance,offside,yellow,red,result
0,1,1742.0567627,1621.64343262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L
1,1,1742.0567627,1621.64343262,0,0,-6,-6,-2,-3,0,0,0,0,0,0,0,0,0,-1,2,0,1,0,1,0,0,0,L
2,1,1742.0567627,1621.64343262,0,0,-7,-7,-2,-9,0,-1,0,0,0,0,0,0,0,-1,2,0,1,0,3,0,0,0,L
3,1,1742.0567627,1621.64343262,0,0,-7,-7,-1,-11,0,-1,0,0,0,0,0,0,0,-2,3,0,2,0,3,0,0,0,L
4,1,1742.0567627,1621.64343262,0,0,-5,-5,-1,-14,0,-3,-1,0,0,0,0,0,0,-2,3,1,1,0,5,0,0,0,L
5,1,1742.0567627,1621.64343262,0,0,-12,-12,-1,-17,0,-5,-1,0,0,0,0,0,0,0,2,1,-1,0,5,0,0,0,L
6,1,1742.0567627,1621.64343262,0,0,-11,-11,-1,-20,0,-6,-2,0,-1,0,-1,0,0,0,2,1,-1,0,6,0,0,0,L
7,1,1742.0567627,1621.64343262,0,0,0,0,-1,-11,0,-5,-2,0,0,0,0,1,0,0,2,1,0,0,4,0,0,0,L
8,1,1742.0567627,1621.64343262,0,0,1,2,-2,-9,0,-5,-2,0,0,0,0,1,0,-2,2,1,0,0,4,0,0,0,L
9,1,1742.0567627,1621.64343262,0,0,2,3,1,-7,-1,-5,-2,-1,-1,0,-1,0,0,-2,2,1,0,0,3,0,0,0,L
10,1,1742.0567627,1621.64343262,0,0,5,6,1,-7,-1,-5,-2,-1,-1,0,-1,0,0,-2,2,0,0,0,3,0,0,0,L
11,1,1742.0567627,1621.64343262,0,0,5,6,1,-7,-1,-5,-2,-1,-1,0,-1,0,0,-2,2,-1,0,0,3,0,0,0,L
12,1,1742.0567627,1621.64343262,0,0,5,6,1,-8,-1,-5,-2,-1,-2,0,-1,0,0,-2,2,-1,0,0,3,0,0,0,L
13,1,1742.0567627,1621.64343262,0,1,5,6,1,-8,-1,-5,-2,-1,-3,0,-2,0,0,-2,2,-1,0,0,3,0,0,0,L
14,1,1742.0567627,1621.64343262,0,1,6,7,2,-7,-1,-5,-2,-1,-3,0,-2,0,0,-2,2,-2,0,-1,3,0,0,0,L
15,1,1742.0567627,1621.64343262,0,1,-1,1,1,-9,-1,-5,-2,-1,-3,0,-2,0,0,-2,2,-2,1,-1,3,0,0,0,L
16,1,1742.0567627,1621.64343262,0,1,-3,-1,0,-13,-2,-7,-4,-1,-5,0,-4,0,0,-2,2,-2,1,-1,5,0,0,0,L
17,1,1742.0567627,1621.64343262,0,1,-3,-1,0,-14,-2,-7,-4,-1,-5,0,-4,0,0,-2,2,-2,1,-1,6,0,0,0,L
18,1,1742.0567627,1621.64343262,0,1,-2,0,0,-13,-1,-7,-4,-1,-4,0,-4,1,0,-2,1,-3,3,-1,5,0,0,0,L
19,1,1742.0567627,1621.64343262,0,1,3,6,-1,-13,0,-7,-4,0,-3,0,-3,2,0,-2,1,-4,3,-1,5,0,0,0,L
20,1,1742.0567627,1621.64343262,0,1,8,11,-2,-15,0,-7,-4,0,-3,0,-3,2,0,-2,1,-4,3,0,6,0,0,0,L
21,1,1742.0567627,1621.64343262,0,1,8,11,-1,-21,-1,-9,-4,0,-4,0,-4,1,0,-2,0,-5,3,0,7,0,0,0,L
22,1,1742.0567627,1621.64343262,0,1,18,21,-1,-21,-1,-9,-4,0,-4,0,-4,1,0,-2,0,-5,3,0,7,0,0,0,L
24,1,1742.0567627,1621.64343262,0,1,25,28,-1,-12,-1,-8,-4,0,-4,0,-4,1,0,-3,0,-5,3,0,7,0,0,0,L
25,1,1742.0567627,1621.64343262,0,1,27,29,-1,-13,-1,-8,-4,0,-4,0,-4,1,0,-3,0,-4,2,0,7,0,0,0,L
26,1,1742.0567627,1621.64343262,0,1,32,33,-1,-12,-1,-8,-4,0,-4,0,-4,1,0,-3,0,-4,2,0,7,0,0,0,L
27,1,1742.0567627,1621.64343262,0,1,36,36,0,-12,-1,-8,-4,0,-4,0,-4,1,0,-4,1,-4,2,0,7,0,0,0,L
28,1,1742.0567627,1621.64343262,0,1,36,36,0,-19,-1,-10,-4,0,-4,0,-4,1,0,-4,1,-3,2,1,7,0,0,0,L
29,1,1742.0567627,1621.64343262,0,1,50,50,0,-18,-1,-10,-4,0,-4,0,-4,1,0,-4,1,-3,2,1,7,0,0,0,L
30,1,1742.0567627,1621.64343262,0,1,45,45,-1,-19,-1,-10,-4,0,-4,0,-4,1,0,-4,1,-3,2,1,7,0,0,0,L
31,1,1742.0567627,1621.64343262,0,1,56,56,-1,-14,-1,-10,-4,0,-4,0,-4,1,0,-5,1,-3,2,1,6,0,0,0,L
32,1,1742.0567627,1621.64343262,0,1,67,67,-1,-10,-1,-9,-4,0,-4,0,-4,1,0,-5,1,-4,2,2,5,0,0,0,L
33,1,1742.0567627,1621.64343262,0,1,73,73,-1,-6,0,-7,-4,0,-3,0,-3,2,0,-5,1,-5,2,2,5,0,0,0,L
34,1,1742.0567627,1621.64343262,0,1,79,79,-1,-1,0,-7,-4,0,-3,0,-3,2,0,-5,0,-5,2,2,5,0,0,0,L
35,1,1742.0567627,1621.64343262,0,1,81,81,-2,0,1,-7,-4,0,-2,0,-3,3,0,-5,0,-4,2,2,5,0,0,0,L
36,1,1742.0567627,1621.64343262,0,1,81,81,-2,0,1,-7,-4,0,-2,0,-3,3,0,-5,0,-3,2,2,5,0,0,0,L
37,1,1742.0567627,1621.64343262,0,1,75,75,-3,-3,1,-8,-4,0,-2,0,-3,3,0,-6,0,-4,3,2,5,0,0,0,L
38,1,1742.0567627,1621.64343262,0,1,76,76,-3,-5,1,-9,-4,0,-2,0,-3,3,0,-6,1,-4,3,2,5,0,0,0,L
39,1,1742.0567627,1621.64343262,0,1,78,77,-1,-4,1,-9,-4,0,-2,0,-3,3,0,-6,1,-4,3,1,6,0,0,0,L
40,1,1742.0567627,1621.64343262,0,1,86,86,-2,-3,1,-9,-4,0,-2,0,-3,3,0,-6,1,-4,4,1,6,0,0,0,L
41,1,1742.0567627,1621.64343262,1,1,95,95,-2,0,2,-9,-4,1,-1,1,-3,4,0,-6,1,-4,4,1,6,0,0,0,L
42,1,1742.0567627,1621.64343262,1,1,93,94,-3,-5,2,-10,-4,1,-1,1,-3,4,0,-6,1,-5,4,0,7,0,0,0,L
43,1,1742.0567627,1621.64343262,1,1,106,107,-3,-4,3,-9,-4,1,0,1,-2,5,0,-6,1,-5,4,0,7,0,0,0,L
44,1,1742.0567627,1621.64343262,1,1,106,106,-2,-8,3,-9,-4,1,0,1,-2,5,0,-4,1,-4,3,0,8,0,0,0,L
45,1,1742.0567627,1621.64343262,1,1,108,107,-1,-7,3,-9,-4,1,0,1,-2,5,0,-4,1,-4,3,0,8,0,0,0,L
46,1,1742.0567627,1621.64343262,1,2,108,107,-1,-8,2,-10,-4,1,-1,1,-3,5,0,-4,1,-5,3,0,8,0,0,0,L
47,1,1742.0567627,1621.64343262,1,2,108,107,0,-7,1,-10,-4,1,-2,1,-3,4,0,-4,0,-3,3,1,8,0,0,0,L
48,1,1742.0567627,1621.64343262,1,2,108,107,0,-9,1,-10,-4,1,-2,1,-3,4,0,-5,-1,-3,4,1,8,0,0,0,L
45,2,1742.0567627,1621.64343262,1,2,108,107,0,-10,1,-10,-4,1,-2,1,-3,4,0,-5,-1,-3,4,1,9,0,0,0,L
46,2,1742.0567627,1621.64343262,1,2,117,115,3,-9,1,-10,-4,1,-2,1,-3,4,0,-5,-1,-2,5,-1,9,0,0,0,L
