minute,half,ht_elo,at_elo,ht_goal,at_goal,pass,short_pass,long_pass,final_3rd_pass,key_pass,cross,corner,big_chance,shot,shot_6_yard_box,shot_penalty_box,shot_open_play,shot_fast_break,dispossessed,turnover,duel,tackle,interception,clearance,offside,yellow,red,result
0,1,2016.33422852,1797.04052734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D
1,1,2016.33422852,1797.04052734,0,0,7,7,-1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,D
2,1,2016.33422852,1797.04052734,0,0,17,16,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,D
3,1,2016.33422852,1797.04052734,1,0,17,16,0,-3,1,1,0,1,1,0,1,0,0,0,0,0,0,-1,2,0,0,0,D
4,1,2016.33422852,1797.04052734,1,0,15,14,0,-5,1,1,0,1,1,0,1,0,0,0,0,0,0,-1,3,0,0,0,D
5,1,2016.33422852,1797.04052734,1,0,15,14,0,-8,1,-1,-1,1,1,0,1,0,0,1,0,-1,-1,-1,5,0,0,0,D
6,1,2016.33422852,1797.04052734,1,0,5,4,0,-10,1,-1,-1,1,1,0,1,0,0,1,1,-1,-1,-1,5,0,0,0,D
7,1,2016.33422852,1797.04052734,1,0,6,5,-1,-14,-1,-2,-1,1,-1,0,-1,-2,0,1,1,-1,-1,0,6,0,0,0,D
8,1,2016.33422852,1797.04052734,1,0,6,5,-1,-15,-2,-3,-2,0,-2,0,-2,-2,0,1,1,-1,-1,0,6,0,0,0,D
9,1,2016.33422852,1797.04052734,1,0,23,21,0,-14,-2,-3,-2,0,-2,0,-2,-2,0,1,1,-1,-1,0,6,0,0,0,D
10,1,2016.33422852,1797.04052734,1,0,19,18,-2,-10,-2,-3,-2,0,-1,0,-1,-1,0,0,1,-1,0,0,2,0,0,0,D
11,1,2016.33422852,1797.04052734,1,0,36,35,-2,-9,-2,-3,-2,0,-1,0,-1,-1,0,0,1,-1,0,0,2,0,0,0,D
12,1,2016.33422852,1797.04052734,1,0,50,49,-2,-3,-2,-3,-2,0,-1,0,-1,-1,0,-1,1,-1,0,-1,2,0,0,0,D
13,1,2016.33422852,1797.04052734,1,0,42,42,-4,-4,-3,-3,-2,0,-2,0,-2,-2,0,-1,0,-1,0,-1,3,0,0,0,D
14,1,2016.33422852,1797.04052734,1,0,35,35,-5,-4,-3,-3,-2,0,-2,0,-2,-2,0,-1,1,-1,0,-1,3,0,0,0,D
15,1,2016.33422852,1797.04052734,1,0,32,33,-7,-4,-3,-3,-2,0,-2,0,-2,-2,0,0,0,-2,-1,-1,3,0,0,0,D
16,1,2016.33422852,1797.04052734,1,0,30,32,-7,-4,-3,-3,-2,0,-2,0,-2,-2,0,-1,0,-3,0,-1,3,0,0,0,D
17,1,2016.33422852,1797.04052734,1,0,49,51,-7,-3,-3,-3,-2,0,-2,0,-2,-2,0,-1,0,-3,0,-1,3,0,0,0,D
18,1,2016.33422852,1797.04052734,1,0,37,39,-6,-4,-3,-3,-2,0,-2,0,-2,-2,0,-1,0,-3,0,-1,2,0,0,0,D
19,1,2016.33422852,1797.04052734,1,0,37,39,-6,-8,-3,-4,-2,0,-2,0,-2,-2,0,-1,0,-3,0,-1,2,0,0,0,D
20,1,2016.33422852,1797.04052734,1,0,46,47,-5,-10,-3,-5,-2,0,-2,0,-2,-2,0,-1,2,-3,0,-1,2,0,0,0,D
21,1,2016.33422852,1797.04052734,1,0,54,55,-5,-8,-3,-4,-2,0,-2,0,-2,-2,0,-1,2,-3,0,-1,2,0,0,0,D
22,1,2016.33422852,1797.04052734,1,0,72,73,-5,-3,-3,-4,-2,0,-2,0,-2,-2,0,0,2,-3,0,-1,2,0,0,0,D
23,1,2016.33422852,1797.04052734,1,0,85,86,-4,2,-2,-4,-2,0,-1,0,-2,-1,0,0,2,-3,0,-1,1,0,0,0,D
24,1,2016.33422852,1797.04052734,1,0,95,96,-5,2,-2,-4,-2,0,-1,0,-2,-1,0,0,2,-3,0,-1,1,0,0,0,D
