Feature,SHAP_Importance,Cumulative_Importance,Rank
ht_goal,0.1284850074222062,0.1284850074222062,1
at_goal,0.10634896214299194,0.23483396956519814,2
ht_elo,0.0675127586345623,0.30234672819976044,3
at_elo,0.04447944910826175,0.3468261773080222,4
shot,0.02235110422635027,0.36917728153437246,5
big_chance,0.020185381995533207,0.3893626635299057,6
shot_penalty_box,0.014373720649924869,0.40373638417983054,7
key_pass,0.0139403390496162,0.41767672322944677,8
pass,0.013813270772143641,0.4314899940015904,9
short_pass,0.012869053143337934,0.4443590471449283,10
shot_open_play,0.012415102908831823,0.4567741500537601,11
final_3rd_pass,0.010493324666456022,0.4672674747202161,12
minute,0.009828351974489894,0.477095826694706,13
shot_6_yard_box,0.008018605937601534,0.4851144326323075,14
shot_fast_break,0.006609372483122144,0.4917238051154297,15
clearance,0.00651558429490892,0.4982393894103386,16
long_pass,0.006440332550146648,0.5046797219604853,17
dispossessed,0.0064330553805480575,0.5111127773410333,18
cross,0.006314707885340251,0.5174274852263736,19
half,0.00551184342058135,0.5229393286469549,20
tackle,0.005070900339510151,0.5280102289864651,21
interception,0.004762506973455269,0.5327727359599204,22
yellow,0.004709696986106342,0.5374824329460267,23
duel,0.004676354107018588,0.5421587870530453,24
turnover,0.004643286327405395,0.5468020733804507,25
corner,0.004470436632755474,0.5512725100132062,26
offside,0.004233552988073589,0.5555060630012798,27
red,0.0010430110513748663,0.5565490740526546,28
