Feature,SHAP_Importance,Cumulative_Importance,Rank
at_goal,0.11718639422246278,0.11718639422246278,1
ht_goal,0.10127869194025023,0.218465086162713,2
ht_elo,0.058004799895618624,0.2764698860583316,3
at_elo,0.041835933495157976,0.3183058195534896,4
big_chance,0.02147060238369896,0.33977642193718854,5
shot,0.020355166255483254,0.36013158819267177,6
shot_penalty_box,0.013625612214501384,0.37375720040717314,7
key_pass,0.013003334687133848,0.38676053509430697,8
pass,0.01171108572186321,0.39847162081617016,9
short_pass,0.011062804228102734,0.4095344250442729,10
shot_open_play,0.010913162079873055,0.4204475871241459,11
final_3rd_pass,0.009391707424998114,0.42983929454914405,12
minute,0.008231045631875131,0.4380703401810192,13
shot_6_yard_box,0.007541871551493787,0.445612211732513,14
clearance,0.006020674577887242,0.4516328863104002,15
dispossessed,0.005600214867941579,0.4572331011783418,16
shot_fast_break,0.0053908869065460215,0.46262398808488786,17
cross,0.005314062852974529,0.4679380509378624,18
long_pass,0.005176954039955855,0.4731150049778182,19
tackle,0.004779841457483749,0.47789484643530195,20
interception,0.004397676922649362,0.4822925233579513,21
duel,0.004350041147044196,0.4866425645049955,22
half,0.0043239656006990755,0.4909665301056946,23
corner,0.004272377514297989,0.49523890761999256,24
turnover,0.0039030856138729387,0.4991419932338655,25
offside,0.0036988928276782975,0.5028408860615438,26
yellow,0.0033203986093808193,0.5061612846709246,27
red,0.0010982991705743121,0.5072595838414989,28
