match_id,date,home_team,away_team,home_team_id,away_team_id,home_team_elo,away_team_elo
1640705,2022-08-28,Aston Villa,West Ham,24,29,1724.91247559,1756.25183105
1640706,2022-08-27,Brentford,Everton,189,31,1727.21032715,1686.03259277
1640707,2022-08-27,Brighton,Leeds,211,19,1783.37304688,1731.14453125
1640708,2022-08-27,Chelsea,Leicester,15,14,1882.08300781,1758.41784668
1640709,2022-08-27,Liverpool,Bournemouth,26,183,2008.06506348,1635.92431641
1640710,2022-08-27,Man City,Crystal Palace,167,162,2027.2265625,1761.25134277
1640711,2022-08-28,Forest,Tottenham,174,30,1622.33886719,1877.79187012
1640712,2022-08-27,Southampton,Man United,18,32,1679.31066895,1795.39343262
1640713,2022-08-28,Wolves,Newcastle,161,23,1711.79064941,1770.03955078
1640714,2022-08-31,Arsenal,Aston Villa,13,24,1877.66247559,1716.25915527
1640715,2022-08-31,Bournemouth,Wolves,183,161,1632.94055176,1711.90588379
1640716,2022-08-30,Fulham,Brighton,170,211,1654.37414551,1788.72717285
1640717,2022-08-30,Leeds,Everton,19,31,1725.79052734,1688.76000977
1640718,2022-09-01,Leicester,Man United,14,32,1754.65478516,1801.75317383
1640719,2022-08-31,West Ham,Tottenham,29,30,1764.90515137,1882.70751953
1640720,2022-08-30,Crystal Palace,Brentford,162,189,1758.66662598,1724.48291016
1640721,2022-08-30,Southampton,Chelsea,18,15,1672.95092773,1885.84619141
1640722,2022-08-31,Liverpool,Newcastle,26,23,2011.04882812,1769.92431641
1640723,2022-08-31,Man City,Forest,167,174,2029.8112793,1617.42321777
1640724,2022-09-03,Aston Villa,Man City,24,167,1713.08093262,2031.73083496
1640725,2022-09-03,Brentford,Leeds,189,19,1726.94726562,1723.24926758
1640726,2022-09-04,Brighton,Leicester,211,14,1778.4005127,1746.37609863
1640727,2022-09-03,Chelsea,West Ham,15,29,1873.8638916,1766.67773438
1640728,2022-09-03,Everton,Liverpool,31,26,1691.30114746,2013.15673828
1640729,2022-09-04,Man United,Arsenal,32,13,1810.03186035,1880.84069824
1640730,2022-09-03,Newcastle,Crystal Palace,23,162,1767.81652832,1756.20227051
1640731,2022-09-03,Forest,Bournemouth,174,183,1615.50366211,1633.61328125
1640732,2022-09-03,Tottenham,Fulham,30,170,1880.93481445,1664.70068359
1640733,2022-09-03,Wolves,Southampton,161,18,1711.2331543,1684.93310547
1640734,2023-03-01,Arsenal,Everton,13,31,1926.25366211,1670.73156738
1640735,2023-04-04,Bournemouth,Brighton,183,211,1661.44372559,1825.3059082
1640736,2023-01-18,Crystal Palace,Man United,162,32,1736.68151855,1874.44934082
1640737,2023-01-12,Fulham,Chelsea,170,15,1714.91516113,1873.38476562
1640738,2023-04-04,Leeds,Forest,19,174,1707.2635498,1645.53039551
1640739,2023-04-04,Leicester,Aston Villa,14,24,1741.43835449,1788.20129395
1640740,2023-03-01,Liverpool,Wolves,26,161,1929.20605469,1713.3215332
1640741,2023-01-19,Man City,Tottenham,167,30,2018.14038086,1857.57849121
1640742,2023-03-15,Southampton,Brentford,18,189,1663.48352051,1785.05200195
1640743,2023-04-05,West Ham,Newcastle,29,23,1756.2376709,1854.80493164
1640744,2022-09-16,Aston Villa,Southampton,24,18,1708.04260254,1667.56872559
1640745,2022-09-18,Brentford,Arsenal,189,13,1728.76403809,1861.61083984
1640746,2023-03-15,Brighton,Crystal Palace,211,162,1822.44812012,1737.67626953
1640747,2023-04-04,Chelsea,Liverpool,15,26,1842.72302246,1926.76843262
1640748,2022-09-18,Everton,West Ham,31,29,1688.39318848,1757.90539551
1640749,2023-02-08,Man United,Leeds,32,19,1870.35742188,1699.20983887
1640750,2022-09-17,Newcastle,Bournemouth,23,183,1756.54223633,1633.43676758
1640751,2022-09-16,Forest,Fulham,174,170,1594.91552734,1650.92224121
1640752,2022-09-17,Tottenham,Leicester,30,14,1865.88122559,1727.04443359
1640753,2022-09-17,Wolves,Man City,161,167,1707.83288574,2025.91796875
1640754,2022-10-01,Arsenal,Tottenham,13,30,1871.75427246,1872.87072754
1640755,2022-10-01,Bournemouth,Brentford,183,189,1638.12988281,1718.62072754
1640756,2022-10-01,Crystal Palace,Chelsea,162,15,1748.78771973,1852.81445312
1640757,2022-10-01,Fulham,Newcastle,170,23,1661.09960938,1751.84912109
1640758,2022-10-02,Leeds,Aston Villa,19,24,1702.74377441,1715.66918945
1640759,2022-10-03,Leicester,Forest,14,174,1720.05480957,1588.89001465
1640760,2022-10-01,Liverpool,Brighton,26,211,1982.13085938,1779.0435791
1640761,2022-10-02,Man City,Man United,167,32,2030.31066895,1805.43786621
1640762,2022-10-01,Southampton,Everton,18,31,1664.09399414,1696.83044434
1640763,2022-10-01,West Ham,Wolves,29,161,1749.46813965,1703.44006348
1640764,2022-10-09,Arsenal,Liverpool,13,26,1889.96911621,1984.58215332
1640765,2022-10-08,Bournemouth,Leicester,183,14,1645.45275879,1734.10424805
1640766,2022-10-08,Brighton,Tottenham,211,30,1791.84143066,1868.53588867
1640767,2022-10-08,Chelsea,Wolves,15,161,1876.5098877,1701.96020508
1640768,2022-10-09,Crystal Palace,Leeds,162,19,1748.52062988,1708.19226074
1640769,2022-10-09,Everton,Man United,31,32,1711.9642334,1809.97729492
1640770,2022-10-08,Man City,Southampton,167,18,2041.94970703,1662.015625
1640771,2022-10-08,Newcastle,Brentford,23,189,1770.60119629,1724.35302734
